最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
-,-,-,-,-,-,-,-,-,-,200002,万科B,-,-,-,12.41,-,-,-,-,-,-,19930528
-,-,-,-,-,-,-,-,-,-,200003,PT金田B,-,-,-,1.6,-,-,-,-,-,-,19930629
5.22,-0.19,-0.01,1448,753989.0,0.96,0.21,10.66,1.33,0.58,200011,深物业B,5.23,5.18,5.23,5.23,3111010860,352899368,0.58,0.87,-23.01,9.21,19920330
2.64,0.76,0.02,19825,5207646.0,1.53,0.18,7.35,0.76,0.38,200012,南  玻Ｂ,2.65,2.61,2.61,2.62,8106627162,2928726324,0.38,0.7,15.28,10.46,19920228
-,-,-,-,-,-,-,-,-,-,200013,*ST石化B,-,-,-,1.47,-,-,-,-,-,-,19920506
-,-,-,-,-,-,-,-,-,-,200015,PT中浩B,-,-,-,1.95,-,-,-,-,-,-,19920625
2.35,1.29,0.03,16465,3836055.0,2.59,0.2,6.06,1.36,0.43,200016,深康佳Ｂ,2.36,2.3,2.31,2.32,5658671709,1906676279,0.0,0.58,1.29,-2.08,19920327
0.97,1.04,0.01,1543,150158.0,1.04,0.06,66.97,0.26,0.0,200017,*ST中华B,0.98,0.97,0.98,0.96,534807509,240912093,0.0,37.95,-3.0,-42.6,19920331
-,-,-,-,-,-,-,-,-,-,200018,神城B退,-,-,-,0.17,-,-,-,-,-,-,19920616
3.91,0.51,0.02,1431,557142.0,2.31,0.28,9.57,1.86,0.0,200019,深粮B,3.92,3.83,3.83,3.89,4506412843,202339685,0.0,0.88,-7.78,24.92,19921012
3.18,0.63,0.02,204,64381.0,1.58,0.02,122.33,0.23,0.0,200020,深华发Ｂ,3.18,3.13,3.16,3.16,900452702,324346758,0.0,2.37,-4.79,-23.74,19920428
-,-,-,-,-,-,-,-,-,-,200024,招商局B,-,-,-,35.3,-,-,-,-,-,-,19930607
4.51,0.45,0.02,790,353153.0,1.56,0.21,32.32,1.9,0.0,200025,特  力Ｂ,4.52,4.45,4.46,4.49,1944073023,172642800,0.0,1.32,-15.07,-18.0,19930621
6.56,-0.46,-0.03,960,632396.0,1.67,0.14,8.62,0.51,-0.61,200026,飞亚达Ｂ,6.61,6.5,6.5,6.59,2808282739,438982080,-0.61,0.9,6.84,7.89,19930603
21.79,0.83,0.18,989,2127969.0,2.64,0.18,6.16,1.03,-0.05,200028,一致Ｂ,21.82,21.25,21.52,21.61,9328886960,1195932710,-0.05,0.6,-6.16,-18.85,19930809
3.38,-0.29,-0.01,1884,634127.0,1.18,0.16,11.33,0.36,0.9,200029,深深房Ｂ,3.39,3.35,3.38,3.39,3419410800,405600000,0.9,0.81,-36.23,-36.23,19940110
3.63,0.83,0.03,2517,909552.0,3.33,0.53,6.24,1.59,0.28,200030,富奥B,3.66,3.54,3.54,3.6,6572304163,173582661,0.0,0.82,15.24,17.86,19930929
