最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
25.13,-1.84,-0.47,229431,588429632.0,4.3,2.43,157.77,0.78,0.04,300001,特锐德,26.1,25.0,25.55,25.6,25068935985,23740900474,-0.32,5.64,24.84,46.45,20091030
5.66,-7.06,-0.43,695720,404493632.0,6.9,4.27,40.28,1.54,-0.18,300002,神州泰岳,6.08,5.66,6.07,6.09,11099780629,9219705193,-0.18,2.98,-24.43,73.62,20091030
28.18,-1.81,-0.52,191325,543111360.0,2.37,1.25,19.33,0.95,0.0,300003,乐普医疗,28.83,28.15,28.65,28.7,50853095877,43059357842,0.04,5.06,-23.49,-14.29,20091030
7.02,11.08,0.7,246323,170516989.0,14.72,5.88,29.3,3.76,0.43,300004,南风股份,7.3,6.37,6.41,6.32,3369555058,2938667451,0.29,1.63,-22.35,2.63,20091030
7.32,0.14,0.01,137070,100067353.0,3.01,1.94,-26.68,0.56,0.69,300005,探路者,7.42,7.2,7.26,7.31,6468700002,5170279060,0.55,2.92,13.31,67.51,20091030
8.3,2.34,0.19,277066,231595431.0,4.69,4.44,9280.22,2.39,0.61,300006,莱美药业,8.54,8.16,8.17,8.11,6741602002,5182646882,0.24,4.45,5.73,48.21,20091030
16.15,-4.15,-0.7,70919,116500634.0,4.75,2.94,20.23,1.53,-0.06,300007,汉威科技,16.92,16.12,16.86,16.85,4732318317,3898789863,0.0,3.13,-20.13,-1.16,20091030
7.09,4.42,0.3,900092,640106640.0,7.95,12.11,129.75,1.83,0.14,300008,天海防务,7.34,6.8,6.86,6.79,6806514752,5268064216,-0.14,15.36,-34.71,145.33,20091030
15.5,-1.46,-0.23,93125,145162521.0,1.97,0.97,53.08,0.83,-0.06,300009,安科生物,15.8,15.49,15.77,15.73,21163513458,14934389702,0.06,7.63,-9.25,34.9,20091030
11.61,-2.6,-0.31,164816,194067358.0,3.36,2.27,-80.87,1.36,-0.17,300010,豆神教育,12.0,11.6,11.95,11.92,10081249152,8445711938,-0.09,3.1,-44.08,-10.07,20091030
6.88,-4.44,-0.32,92543,64841648.0,4.86,1.95,50.19,1.77,0.15,300011,鼎汉技术,7.19,6.84,7.18,7.2,3843514663,3259225055,-0.29,1.91,-20.83,16.41,20091030
25.14,-0.63,-0.16,79413,199993043.0,2.81,0.53,78.81,0.94,0.28,300012,华测检测,25.48,24.77,25.3,25.3,41846050750,37959741414,0.12,11.8,0.6,68.95,20091030
6.86,-2.83,-0.2,70054,48830900.0,3.4,1.67,-70.24,0.97,-0.44,300013,新宁物流,7.09,6.85,7.09,7.06,3064273609,2869381455,0.0,3.96,-30.0,-25.43,20091030
66.01,3.61,2.3,435930,2901802944.0,4.41,2.45,98.83,1.29,0.63,300014,亿纬锂能,67.5,64.69,65.0,63.71,124684006968,117300903656,0.05,11.54,42.05,150.99,20091030
65.97,-0.99,-0.66,141966,953425360.0,3.74,0.42,131.9,0.75,-0.54,300015,爱尔眼科,68.44,65.95,66.64,66.63,271896544769,225388149368,-0.35,28.62,30.32,117.58,20091030
10.93,-1.53,-0.17,42079,46452746.0,1.71,1.03,25.26,0.48,-0.36,300016,北陆药业,11.12,10.93,11.12,11.1,5404824623,4446250955,-0.18,3.41,-15.79,22.53,20091030
7.41,-3.01,-0.23,348511,261205353.0,3.14,1.58,65.52,1.45,0.14,300017,网宿科技,7.64,7.4,7.63,7.64,18176820432,16334795156,0.14,2.08,-27.21,-22.0,20091030
6.92,-4.16,-0.3,156486,110247858.0,4.02,4.0,113.35,1.34,0.0,300018,中元股份,7.2,6.91,7.19,7.22,3327354229,2709461000,0.0,3.12,-13.93,33.59,20091030
21.98,5.52,1.15,386942,840163120.0,7.3,14.23,40.55,1.31,1.01,300019,硅宝科技,22.18,20.66,20.66,20.83,7273224883,5976900224,0.37,7.42,44.04,120.46,20091030
9.01,-2.7,-0.25,137918,126591125.0,3.89,2.2,33.73,1.62,-0.33,300020,银江股份,9.35,8.99,9.26,9.26,5908659665,5651871773,-0.11,1.64,-28.15,7.65,20091030
5.36,-3.25,-0.18,154689,83701196.0,3.25,2.39,66.51,0.96,0.37,300021,大禹节水,5.51,5.33,5.48,5.54,4273853282,3475568768,0.19,2.96,-23.97,3.08,20091030
4.93,-2.95,-0.15,101049,50459601.0,3.74,2.93,-261.89,0.89,-0.2,300022,吉峰科技,5.11,4.92,5.09,5.08,1874585073,1702072315,-0.2,23.83,-35.05,28.05,20091030
11.19,-1.32,-0.15,48587,55277302.0,5.2,3.54,-5005.71,0.52,0.18,300023,宝德股份,11.74,11.15,11.29,11.34,3537234812,1537158987,0.0,7.27,-21.36,53.29,20091030
12.99,-3.28,-0.44,138468,183136389.0,3.87,0.91,113.12,1.55,-0.23,300024,机器人,13.48,12.96,13.44,13.43,20267512625,19700386255,-0.08,3.07,-23.32,-7.21,20091030
5.01,-4.75,-0.25,146838,75262962.0,5.32,3.68,-43.23,0.95,-0.4,300025,华星创业,5.28,5.0,5.26,5.26,2146938116,1999714105,-0.4,4.92,-28.94,-2.53,20091030
4.75,-3.06,-0.15,404534,193867312.0,4.08,1.51,17.86,1.14,-0.21,300026,红日药业,4.91,4.71,4.91,4.9,14269735476,12687916344,0.0,1.98,-30.56,37.28,20091030
4.3,-2.71,-0.12,208172,90327865.0,2.49,0.94,-27.59,0.78,-0.23,300027,华谊兄弟,4.41,4.3,4.4,4.42,11988227652,9504617720,0.0,2.98,-29.51,-7.13,20091030
-,-,-,-,-,-,-,-,-,-,300028,金亚退,-,-,-,0.3,-,-,-,-,-,-,20091030
5.4,-4.09,-0.23,36703,20056733.0,6.22,1.84,-30.63,1.29,0.56,300029,ST天龙,5.66,5.31,5.64,5.63,1080000000,1080000000,0.37,62.86,-32.16,-9.09,20091225
12.25,-2.78,-0.35,59210,73556257.0,3.33,2.33,13.66,1.01,-0.08,300030,阳普医疗,12.65,12.23,12.6,12.6,3782748734,3116400894,-0.08,3.63,-15.4,71.81,20091225
19.25,-4.13,-0.83,46711,91264329.0,5.13,1.44,18.12,1.39,-0.1,300031,宝通科技,20.23,19.2,20.2,20.08,7637781806,6238428504,-0.67,2.66,-19.46,30.95,20091225
5.92,-5.43,-0.34,302785,182807067.0,5.91,3.77,336.71,0.78,-0.67,300032,金龙机电,6.29,5.92,6.25,6.26,4754764079,4754764079,-0.34,3.22,-1.66,58.71,20091225
139.08,-2.21,-3.14,57593,811923200.0,2.81,2.14,72.63,0.99,-0.04,300033,同花顺,142.96,138.97,142.24,142.22,74769408000,37396889911,-0.05,17.41,-11.58,28.47,20091225
28.3,-2.08,-0.6,142201,407130144.0,4.67,3.31,76.69,0.84,0.0,300034,钢研高纳,29.56,28.21,29.39,28.9,13297072413,12168719038,-0.07,6.17,19.31,78.55,20091225
11.87,-3.96,-0.49,246866,298196240.0,5.91,4.85,50.86,1.29,-0.67,300035,中科电气,12.58,11.85,12.38,12.36,7627458121,6041273511,-0.17,3.76,23.52,51.98,20091225
19.52,-2.59,-0.52,73780,145361929.0,3.09,1.95,45.75,1.74,0.0,300036,超图软件,20.1,19.48,20.02,20.04,8831535885,7395147120,0.05,4.31,-18.8,-1.81,20091225
96.6,-3.29,-3.29,81845,802010800.0,6.19,2.82,79.62,1.23,-0.73,300037,新宙邦,101.5,95.32,100.0,99.89,39682595396,28045889592,-0.41,8.4,79.75,167.66,20100108
5.69,-5.32,-0.32,375119,218472640.0,5.99,3.23,298.49,2.2,-0.18,300038,数知科技,6.03,5.67,6.01,6.01,6667696330,6606000456,0.0,0.62,-45.18,-33.84,20100108
4.96,-2.36,-0.12,73920,37099979.0,3.15,0.81,36.8,1.04,-0.2,300039,上海凯宝,5.11,4.95,5.09,5.08,5188160000,4544625871,-0.2,2.02,-30.14,1.02,20100108
8.01,-1.11,-0.09,124469,101285170.0,3.21,4.43,40.12,1.19,0.0,300040,九洲集团,8.24,7.98,8.09,8.1,3007020355,2249130359,-0.12,1.39,-6.64,45.9,20100108
15.19,-1.04,-0.16,70711,108582076.0,2.28,2.04,24.67,1.07,-0.33,300041,回天新材,15.5,15.15,15.36,15.35,6466571538,5277189890,0.07,3.47,8.58,52.51,20100108
15.41,-4.88,-0.79,42484,67276364.0,5.25,2.53,41.52,1.24,-0.39,300042,朗科科技,16.25,15.4,16.23,16.2,3088164000,2586090466,-0.06,2.93,-30.33,-2.96,20100108
3.68,-2.13,-0.08,126993,46950467.0,3.19,1.39,127.15,1.08,0.55,300043,星辉娱乐,3.78,3.66,3.76,3.76,4578650116,3366241036,0.27,1.56,-36.33,-27.84,20100120
7.13,2.44,0.17,231431,166913495.0,5.03,3.71,38.99,2.42,0.14,300044,赛为智能,7.38,7.03,7.03,6.96,5548603276,4451160848,0.14,3.14,-21.73,9.86,20100120
10.71,-5.14,-0.58,123613,135062380.0,6.02,2.88,106.96,1.25,0.37,300045,华力创通,11.34,10.66,11.29,11.29,6578265002,4589613256,0.09,3.76,-31.48,14.91,20100120
