最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
25.94,2.65,0.67,618290,1597567904.0,7.48,6.54,162.85,1.21,-0.38,300001,特锐德,26.69,24.8,25.31,25.27,25876967746,24506126475,-0.23,5.82,28.61,51.17,20091030
6.12,-0.65,-0.04,514012,316617376.0,2.92,3.16,43.55,0.52,-0.33,300002,神州泰岳,6.26,6.08,6.12,6.16,12001882942,9969009855,-0.16,3.22,-1.13,87.73,20091030
28.47,1.14,0.32,205839,588045856.0,2.34,1.35,19.53,0.85,-0.07,300003,乐普医疗,28.86,28.2,28.35,28.15,51376424401,43502481113,-0.04,5.11,-25.33,-13.41,20091030
6.78,-1.17,-0.08,41134,27975795.0,2.33,0.98,28.3,0.6,-0.29,300004,南风股份,6.91,6.75,6.83,6.86,3254356594,2838200188,-0.29,1.57,11.7,-0.88,20091030
7.33,-0.14,-0.01,332062,241226535.0,3.41,4.7,-26.71,0.82,0.14,300005,探路者,7.42,7.17,7.42,7.34,6477537023,5177342283,0.69,2.92,40.42,67.73,20091030
7.85,-2.97,-0.24,159365,125984020.0,3.21,2.55,8777.08,0.67,-0.38,300006,莱美药业,8.07,7.81,8.02,8.09,6376093459,4901660003,-0.25,4.21,6.37,40.18,20091030
16.71,-3.19,-0.55,82025,138214816.0,4.87,3.4,20.93,1.23,-0.24,300007,汉威科技,17.42,16.58,17.31,17.26,4896411088,4033980099,0.06,3.24,-6.91,2.26,20091030
7.42,10.42,0.7,1277858,926170240.0,14.43,17.2,135.79,1.69,0.0,300008,天海防务,7.69,6.72,6.72,6.72,7123320093,5513263256,-0.13,16.07,60.61,156.75,20091030
15.75,0.38,0.06,74605,117674333.0,1.66,0.77,53.93,0.77,0.13,300009,安科生物,15.94,15.68,15.78,15.69,21504860449,15175266955,0.0,7.75,-6.97,37.08,20091030
12.39,-1.67,-0.21,121480,151288059.0,2.94,1.67,-86.3,0.94,-0.16,300010,豆神教育,12.71,12.34,12.68,12.6,10758542376,9013124110,-0.08,3.3,-33.88,-4.03,20091030
7.0,-0.71,-0.05,57567,40260268.0,2.13,1.22,51.06,0.87,0.0,300011,鼎汉技术,7.09,6.94,7.05,7.05,3910552709,3316072004,0.0,1.94,1.89,18.44,20091030
24.2,-4.84,-1.23,241648,593086080.0,8.65,1.6,75.87,2.48,0.12,300012,华测检测,26.0,23.8,25.58,25.43,40281401279,36540403429,0.12,11.36,-10.6,62.63,20091030
