最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
3372.98,-1.09,-37.2,256474115,334348201984.0,1.48,0.69,-,0.95,0.0,000001,上证指数,3422.54,3371.92,3416.08,3410.18,44022401017310,36509728800734,0.0,-,1.71,10.59,-
18.7,-0.05,-0.01,663112,1251086864.0,1.98,0.34,12.15,0.81,0.0,000001,平安银行,19.05,18.68,18.79,18.71,362890670303,362887575116,0.05,1.26,21.19,15.22,19910403
3535.51,-1.09,-39.01,256243274,333907202048.0,1.49,0.7,-,0.95,0.0,000002,Ａ股指数,3587.49,3534.39,3580.71,3574.52,40946659264864,35604655010144,0.0,-,1.72,10.62,-
28.7,-1.64,-0.48,624426,1810325264.0,2.67,0.64,12.59,0.91,0.03,000002,万  科Ａ,29.44,28.66,29.4,29.18,333428914169,278800838635,0.0,1.65,1.41,-7.89,19910129
-,-,-,-,-,-,-,-,-,-,000003,PT金田A,-,-,-,2.71,-,-,-,-,-,-,19910703
238.09,-0.81,-1.95,181234,92534565.0,1.31,0.11,-,0.87,0.06,000003,Ｂ股指数,241.04,237.89,240.11,240.04,13407892478,10181153790,0.03,-,-5.52,-7.29,-
2916.33,-1.17,-34.38,156938675,224226361344.0,1.53,-,-,0.98,0.0,000004,工业指数,2960.97,2915.7,2955.0,2950.71,-,-,0.01,-,3.28,21.65,-
24.37,-3.75,-0.95,42957,105590299.0,4.74,5.12,52.52,1.2,-0.29,000004,国华网安,25.35,24.15,25.35,25.32,4022332471,2045098329,-0.25,2.77,1.71,7.88,19910114
2.53,-1.17,-0.03,102631,26081317.0,1.95,0.97,-72.84,1.19,0.4,000005,世纪星源,2.57,2.52,2.56,2.56,2678098210,2676603992,0.0,1.65,-15.67,-18.12,19901210
3222.12,-1.87,-61.38,24314680,35338120192.0,2.34,-,-,0.83,-0.02,000005,商业指数,3296.03,3219.24,3288.89,3283.5,-,-,0.05,-,-3.99,11.76,-
5.51,-2.3,-0.13,66924,37450292.0,2.66,0.5,10.93,0.65,-0.18,000006,深振业Ａ,5.66,5.51,5.64,5.64,7438472703,7429176926,0.0,1.06,-8.93,6.37,19920427
6518.58,-0.88,-57.61,4131187,2995372880.0,1.32,-,-,0.77,0.09,000006,地产指数,6595.78,6509.05,6585.22,6576.19,-,-,-0.01,-,-2.86,-7.2,-
8.12,-1.22,-0.1,66547,53630847.0,3.65,2.15,-46.35,0.81,0.12,000007,全新好,8.25,7.95,8.21,8.22,2813158117,2508658117,0.0,17.17,-12.41,-14.53,19920413
4368.18,-1.13,-50.03,17349335,10547783936.0,1.42,-,-,0.92,-0.01,000007,公用指数,4428.47,4365.86,4422.55,4418.21,-,-,0.0,-,-3.71,-11.62,-
3004.52,-0.77,-23.44,53740237,61240565760.0,1.58,-,-,0.94,0.0,000008,综合指数,3050.21,3002.42,3035.28,3027.96,-,-,-0.01,-,2.01,1.49,-
2.69,-1.47,-0.04,149658,40585453.0,2.2,0.56,-23.21,0.65,0.0,000008,神州高铁,2.74,2.68,2.73,2.73,7480339481,7169340314,0.0,1.04,-12.66,-25.69,19920507
7.08,-2.34,-0.17,320116,229033657.0,3.17,1.25,26.26,0.94,0.0,000009,中国宝安,7.3,7.07,7.26,7.25,18260834872,18067437755,0.0,2.7,-2.07,14.75,19910625
5738.55,-1.43,-83.1,55020979,72118796288.0,1.65,0.95,-,1.02,0.0,000009,上证380,5834.54,5738.21,5827.86,5821.65,6756646002688,5884900322432,0.0,-,-1.73,19.14,-
4.02,-0.99,-0.04,31920,12881942.0,1.72,0.61,94.99,0.83,0.25,000010,美丽生态,4.08,4.01,4.07,4.06,3295815946,2099129422,0.0,6.92,-8.64,18.24,19951027
10181.01,-1.0,-103.25,78743324,130999762944.0,1.57,0.35,-,0.86,-0.01,000010,上证180,10338.44,10177.33,10312.31,10284.26,27106920646656,24402751399424,0.0,-,4.47,14.68,-
12.79,-2.37,-0.31,60287,78370761.0,3.74,1.15,29.71,0.88,0.0,000011,深物业A,13.25,12.76,13.06,13.1,7622572587,6733622195,0.0,2.44,-25.2,41.33,19920330
7274.2,-1.03,-75.74,130627466,52886382592.0,1.32,-,-,1.03,0.04,000011,基金指数,7367.13,7269.91,7355.1,7349.94,-,-,0.05,-,1.81,13.22,-
6.65,-2.21,-0.15,469474,315752128.0,3.09,2.4,21.07,0.87,-0.15,000012,南  玻Ａ,6.85,6.64,6.77,6.8,20420102512,13014444751,-0.15,2.01,20.25,34.62,19920228
