最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
3444.58,0.07,2.44,256276705,329393209344.0,0.91,0.69,-,0.8,0.06,000001,上证指数,3448.4,3417.05,3436.73,3442.14,44736264775276,37194564656172,0.02,-,1.76,12.93,-
19.3,-1.23,-0.24,891348,1707639072.0,2.56,0.46,12.54,0.86,0.21,000001,平安银行,19.47,18.97,19.47,19.54,374534221221,374531026724,0.0,1.3,29.53,18.92,19910403
3610.59,0.07,2.56,256014996,328677830656.0,0.91,0.7,-,0.81,0.06,000002,Ａ股指数,3614.6,3581.69,3602.35,3608.03,41661352639008,36286576077440,0.02,-,1.77,12.97,-
30.0,-2.91,-0.9,812748,2463450640.0,3.88,0.84,13.16,0.93,-0.23,000002,万  科Ａ,31.14,29.94,31.12,30.9,348531966030,291429448050,-0.13,1.72,7.87,-3.72,19910129
-,-,-,-,-,-,-,-,-,-,000003,PT金田A,-,-,-,2.71,-,-,-,-,-,-,19910703
242.16,0.13,0.31,164528,64752334.0,0.36,0.1,-,0.32,0.08,000003,Ｂ股指数,242.18,241.3,241.82,241.85,10356360524,10356360524,0.12,-,-5.25,-5.71,-
2957.01,0.84,24.67,154076470,219250384896.0,1.13,-,-,0.9,0.05,000004,工业指数,2959.48,2926.48,2928.84,2932.34,-,-,0.03,-,1.44,23.34,-
26.26,-0.57,-0.15,21684,56937431.0,1.78,2.58,56.59,0.48,-0.23,000004,国华网安,26.48,26.01,26.3,26.41,4334281933,2203704642,-0.04,2.99,8.24,16.25,19910114
2.61,0.38,0.01,67271,17475797.0,1.15,0.64,-75.15,0.5,0.38,000005,世纪星源,2.61,2.58,2.6,2.6,2762781158,2761239692,0.0,1.7,-11.22,-15.53,19901210
3330.86,-0.89,-29.82,26776945,35248871424.0,1.01,-,-,0.73,0.06,000005,商业指数,3342.03,3308.02,3342.03,3360.68,-,-,0.02,-,-3.11,15.53,-
5.76,-1.03,-0.06,82106,47355600.0,1.37,0.61,11.43,0.63,0.17,000006,深振业Ａ,5.82,5.74,5.81,5.82,7775971465,7766253919,0.0,1.11,-5.26,11.2,19920427
6724.64,-1.36,-92.85,4542721,3694206736.0,1.76,-,-,0.66,0.08,000006,地产指数,6818.51,6698.47,6818.51,6817.49,-,-,-0.04,-,0.47,-4.27,-
8.14,0.74,0.06,78795,63675935.0,5.2,2.55,-46.47,0.88,0.0,000007,全新好,8.28,7.86,8.0,8.08,2820087078,2514837078,0.37,17.21,-10.06,-14.32,19920413
4503.42,-0.68,-30.64,17961416,10821859584.0,1.16,-,-,0.74,0.05,000007,公用指数,4536.36,4483.76,4536.36,4534.06,-,-,0.0,-,-0.29,-8.88,-
