最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
9.92,-0.6,-0.06,432805,432730512.0,1.8,0.15,4.88,0.79,0.1,600000,浦发银行,10.09,9.91,9.98,9.98,291173170540,291173170540,0.0,0.57,-1.29,-15.72,19991110
14.44,-1.43,-0.21,105463,153411042.0,2.87,0.51,-85.61,0.92,0.14,600004,白云机场,14.78,14.36,14.78,14.65,34175412007,29880988222,0.0,1.78,-6.36,-16.58,20030428
12.72,-1.01,-0.13,11881,15240557.0,1.56,0.12,15.69,0.91,-0.39,600007,中国国贸,12.92,12.72,12.85,12.85,12812633832,12812633832,0.0,1.64,-6.95,-25.7,19990312
2.95,-1.67,-0.05,315516,94052211.0,2.0,0.43,17.5,1.0,-0.34,600008,首创股份,3.01,2.95,2.99,3.0,21654742497,21654742497,0.0,1.4,-5.14,-1.67,20000427
76.27,-3.32,-2.62,126331,975216592.0,3.56,1.16,-149.47,1.47,-0.05,600009,上海机场,79.0,76.19,78.5,78.89,146969120829,83399444799,0.0,4.94,-0.74,-2.17,19980218
1.17,-0.85,-0.01,2104881,247527810.0,1.69,0.66,239.27,0.91,0.0,600010,包钢股份,1.19,1.17,1.17,1.18,53334488198,37062337557,-0.85,1.01,-1.68,-11.36,20010309
4.74,-2.27,-0.11,242743,116326371.0,2.47,0.22,6.11,0.81,-0.42,600011,华能国际,4.86,4.74,4.85,4.85,74408962522,52129145016,-0.21,0.94,-16.25,-13.03,20011206
6.44,0.0,0.0,95224,61958400.0,3.42,0.82,16.64,1.27,0.16,600012,皖通高速,6.62,6.4,6.48,6.44,10681448400,7506464000,0.47,0.99,19.48,13.98,20030107
6.37,-0.93,-0.06,242217,155710122.0,1.87,0.19,5.21,0.56,0.0,600015,华夏银行,6.48,6.36,6.45,6.43,98016616772,81680513980,0.0,0.46,1.27,-14.15,20030912
5.36,0.75,0.04,1302219,700563616.0,1.13,0.37,4.71,1.31,0.0,600016,民生银行,5.4,5.34,5.35,5.32,234673763171,190076980422,0.0,0.51,-2.72,-9.76,20001219
4.5,-0.88,-0.04,298366,135952064.0,3.3,0.13,13.01,1.04,0.22,600018,上港集团,4.63,4.48,4.57,4.54,104281535925,104281535925,0.0,1.22,2.97,-20.07,20061026
5.93,-0.67,-0.04,698856,418429568.0,2.85,0.32,12.6,0.53,0.17,600019,宝钢股份,6.07,5.9,5.99,5.97,132057824565,131384976966,0.0,0.73,17.43,8.61,20001212
3.43,-1.72,-0.06,77240,26692427.0,2.29,0.34,46.23,1.38,0.29,600020,中原高速,3.5,3.42,3.49,3.49,7708485384,7708485384,0.0,0.75,-5.25,-20.97,20030808
7.24,-0.96,-0.07,41043,29876047.0,1.64,0.17,11.78,0.97,0.14,600021,上海电力,7.34,7.22,7.3,7.31,18948268786,16994063248,0.14,1.13,-4.23,-8.59,20031029
4.45,0.0,0.0,267703,119903924.0,2.7,0.3,13.82,0.86,-0.22,600025,华能水电,4.54,4.42,4.47,4.45,80100000000,39729600000,0.0,1.66,6.21,9.34,20171215
6.53,-2.54,-0.17,198271,130993089.0,3.13,0.72,7.02,0.64,0.0,600026,中远海能,6.72,6.51,6.69,6.7,31100378009,17866294582,0.0,0.86,-10.67,3.0,20020523
3.41,-1.16,-0.04,277980,95208925.0,1.74,0.34,6.94,0.9,0.29,600027,华电国际,3.46,3.4,3.45,3.45,33632750387,27776983811,0.0,0.71,-11.66,-3.13,20050203
4.07,-0.73,-0.03,769258,314699296.0,1.22,0.08,15.72,0.73,0.0,600028,中国石化,4.12,4.07,4.09,4.1,492759823259,388920128157,-0.25,0.68,4.36,-16.08,20010808
6.16,0.0,0.0,314318,194412778.0,1.79,0.39,-9.49,0.63,0.0,600029,南方航空,6.25,6.14,6.19,6.16,94428502753,49966965855,0.16,1.31,-1.75,-14.21,20030725
29.32,-2.3,-0.69,1069038,3190541568.0,3.27,1.09,22.45,0.99,-0.2,600030,中信证券,30.28,29.3,30.1,30.01,379013073170,287765881044,0.0,2.11,-4.34,18.23,20030106
30.83,-2.06,-0.65,615367,1910568688.0,2.57,0.73,15.74,0.97,0.06,600031,三一重工,31.59,30.78,31.5,31.48,261306300818,261306300818,0.0,4.9,31.86,85.39,20030703
44.26,0.0,0.0,368331,1641750432.0,1.6,0.18,10.93,0.69,0.07,600036,招商银行,44.93,44.22,44.37,44.26,1116230366300,913037080428,0.05,1.8,17.74,21.66,20020409
52.3,-2.73,-1.47,58169,308996208.0,3.18,0.99,47.14,0.89,-0.21,600038,中直股份,54.01,52.3,53.72,53.77,30829632247,30829632247,0.0,3.62,-3.15,10.31,20001218
4.63,-1.7,-0.08,204375,95532405.0,2.55,0.57,9.63,1.02,0.22,600039,四川路桥,4.74,4.62,4.74,4.71,22083249338,16716733111,0.0,1.03,3.35,40.73,20030325
16.29,-1.03,-0.17,587017,960218400.0,1.88,0.49,11.07,0.97,0.06,600048,保利地产,16.54,16.23,16.5,16.46,194952459606,194952459606,0.0,1.34,-1.93,6.05,20060731
4.75,-0.84,-0.04,646303,308081968.0,1.25,0.21,23.1,0.75,0.0,600050,中国联通,4.8,4.74,4.78,4.79,147324078563,145052009163,0.21,1.0,-7.23,-18.52,20021009
21.79,-6.92,-1.62,40127,90746021.0,7.13,0.93,54.43,2.21,-0.23,600053,九鼎投资,23.37,21.7,23.25,23.41,9446854032,9446854032,0.0,3.44,-15.84,-14.31,19970418
14.91,-1.13,-0.17,116303,174076935.0,2.32,1.09,9.65,1.02,-0.07,600056,中国医药,15.16,14.81,15.15,15.08,15931119312,15925493232,0.0,1.6,-2.68,16.76,19970515
6.06,-3.04,-0.19,218630,133513156.0,3.2,1.01,10.51,1.18,0.0,600057,厦门象屿,6.25,6.05,6.22,6.25,13074171755,13074171755,0.0,1.21,-11.14,55.38,19970604
14.14,-4.46,-0.66,355473,517453888.0,6.28,0.84,12.62,1.1,-0.07,600061,国投资本,14.93,14.0,14.82,14.8,59771614340,59771614340,0.0,1.43,-6.73,-5.73,19970519
12.23,-1.53,-0.19,83846,103198222.0,2.33,0.8,10.96,1.51,0.16,600062,华润双鹤,12.47,12.18,12.42,12.42,12758797193,12758797193,-0.08,1.39,-7.35,-4.08,19970522
17.31,-1.82,-0.32,209699,370862496.0,4.93,0.95,183.67,0.91,0.29,600066,宇通客车,18.1,17.23,17.75,17.63,38323287950,38323287950,0.0,2.58,14.18,30.64,19970508
6.62,-0.45,-0.03,172211,114768617.0,1.05,0.37,9.09,0.82,0.0,600068,葛洲坝,6.69,6.62,6.66,6.65,30483626467,30483626467,0.0,0.95,7.12,1.53,19970526
10.73,0.47,0.05,106921,114903227.0,2.25,2.05,12.07,1.18,0.19,600070,浙江富润,10.87,10.63,10.68,10.68,5600481846,5600481846,0.0,1.78,-14.91,12.12,19970604
13.28,10.02,1.21,501740,659059104.0,10.85,6.81,503.52,5.06,0.0,600072,中船科技,13.28,11.97,12.07,12.07,9777398446,9777398446,0.0,2.58,-2.21,-0.3,19970603
9.74,-2.7,-0.27,145021,143604614.0,3.1,1.55,17.77,0.9,-0.2,600073,上海梅林,10.04,9.73,10.0,10.01,9133485057,9133485057,0.1,2.13,-18.15,24.08,19970704
32.85,-2.23,-0.75,82671,274463904.0,4.05,0.61,62.09,1.21,0.0,600079,人福医药,34.0,32.64,34.0,33.6,50721211822,44469186321,0.0,4.1,-3.27,144.06,19970606
24.52,-1.29,-0.32,160701,396876704.0,1.73,1.17,35.27,0.57,-0.08,600085,同仁堂,24.95,24.52,24.79,24.84,33628450824,33628450824,0.0,3.52,-16.17,-12.18,19970625
8.19,-1.09,-0.09,259232,214375042.0,2.05,0.7,14.67,0.91,0.12,600089,特变电工,8.34,8.17,8.25,8.28,30420221742,30420221742,0.0,0.95,1.24,26.19,19970618
8.44,-2.88,-0.25,68670,58810850.0,3.57,0.61,27.74,1.04,0.12,600093,易见股份,8.72,8.41,8.69,8.69,9473456900,9473456900,0.0,1.15,-27.68,-39.54,19970626
4.55,0.66,0.03,205985,92446552.0,5.31,0.9,25.9,1.9,-0.22,600094,大名城,4.6,4.36,4.52,4.52,11262729009,10358552577,0.0,0.87,-24.04,-21.82,19970703
23.7,-2.71,-0.66,608521,1470493136.0,4.23,0.52,12.47,1.06,-0.21,600104,上汽集团,24.69,23.66,24.36,24.36,276898034351,276898034351,0.0,1.09,18.26,3.18,19971125
3.95,0.51,0.02,764477,300837520.0,5.34,5.6,-26.48,0.75,0.25,600105,永鼎股份,4.05,3.84,3.94,3.93,5390601407,5390601407,0.0,2.03,-35.46,-11.04,19970929
16.68,-6.08,-1.08,1141388,1971509872.0,9.01,3.77,24.17,1.12,0.72,600109,国金证券,17.97,16.37,17.77,17.76,50446313291,50446313291,0.06,2.28,11.95,80.32,19970807
12.61,-3.3,-0.43,1013817,1302418928.0,5.14,2.79,67.65,0.92,-0.16,600111,北方稀土,13.22,12.55,13.03,13.04,45812962260,45812962260,0.08,4.55,6.96,16.33,19970924
4.88,-1.01,-0.05,329761,161664031.0,1.62,0.34,-6.58,0.9,0.21,600115,东方航空,4.95,4.87,4.95,4.93,79932004911,47865410128,0.0,1.41,-5.61,-15.28,19971105
31.64,-3.24,-1.06,143051,457187744.0,3.76,1.21,117.54,1.33,0.09,600118,中国卫星,32.81,31.58,32.69,32.7,37413956231,37413956231,0.0,6.46,-12.23,48.75,19970908
6.5,-2.4,-0.16,152837,100924613.0,2.85,0.69,17.02,0.8,-0.46,600120,浙江东方,6.69,6.5,6.66,6.66,14481615603,14481615603,-0.15,1.07,-5.66,5.01,19971201
5.15,-2.46,-0.13,112104,58383453.0,2.84,0.86,13.48,1.11,-0.19,600125,铁龙物流,5.29,5.14,5.27,5.28,6723437651,6723437651,0.0,1.08,-7.04,-12.27,19980511
17.81,0.39,0.07,83397,149265331.0,2.03,1.68,54.74,1.95,0.11,600131,国网信通,18.04,17.68,17.74,17.74,21289976829,8828545659,0.11,4.92,-11.83,-9.59,19980402
119.14,1.8,2.11,23937,284679584.0,3.33,0.49,93.82,0.94,0.12,600132,重庆啤酒,120.7,116.8,117.94,117.03,57660328530,57660328530,0.0,48.01,39.15,135.64,19971030
7.84,-2.97,-0.24,60313,47830183.0,3.34,1.24,-2.65,0.6,-0.13,600136,当代文体,8.07,7.8,7.99,8.08,4583410004,3817156338,-0.13,1.52,-1.13,-36.26,19980303
10.81,-3.31,-0.37,141587,155560161.0,3.85,1.96,-45.89,1.19,-0.09,600138,中青旅,11.23,10.8,11.19,11.18,7824710400,7824710400,-0.09,1.22,-11.54,-13.93,19971203
11.65,-0.6,-0.07,109752,129100238.0,2.22,1.48,27.0,0.71,-0.26,600141,兴发集团,11.88,11.62,11.8,11.72,13040924524,8658181453,0.0,1.42,6.49,14.44,19990616
17.02,0.12,0.02,390606,670167920.0,2.47,1.52,8.66,0.51,0.24,600143,金发科技,17.37,16.95,17.05,17.0,43803052278,43803052278,0.0,3.11,0.24,137.05,20040623
19.22,2.29,0.43,247705,479697408.0,6.23,1.8,395.66,2.71,0.1,600150,中国船舶,19.85,18.68,18.84,18.79,85960080729,26487420234,0.05,1.87,-3.17,-11.67,19980520
9.07,-0.55,-0.05,138270,126365040.0,1.75,0.49,6.92,1.21,0.0,600153,建发股份,9.22,9.06,9.15,9.12,25972421447,25715268807,0.0,0.8,-0.66,6.83,19980616
13.19,-5.18,-0.72,707612,962803664.0,7.48,4.07,37.75,0.6,0.23,600155,华创阳安,14.07,13.03,13.81,13.91,22944752187,22944752187,0.0,1.53,-7.31,-5.99,19980918
7.28,-3.32,-0.25,189344,139515265.0,3.45,0.7,382.91,0.73,0.0,600160,巨化股份,7.52,7.26,7.52,7.53,19654151470,19654151470,0.14,1.58,6.74,1.68,19980626
40.5,-1.51,-0.62,100185,406992432.0,4.06,0.8,76.69,0.69,-0.07,600161,天坛生物,41.69,40.02,41.37,41.12,50804826804,50804826804,0.02,11.61,-0.66,74.34,19980616
2.0,-1.48,-0.03,153831,30956814.0,2.46,0.45,-574.48,1.51,0.5,600162,香江控股,2.04,1.99,2.04,2.03,6791562848,6791562848,0.5,1.33,-9.91,-9.91,19980609
12.76,-1.77,-0.23,42959,55184250.0,2.16,0.19,18.88,0.79,0.08,600167,联美控股,13.03,12.75,13.03,12.99,29196404501,29196404501,0.0,3.54,0.24,-1.47,19990128
3.04,-0.98,-0.03,247956,75846876.0,0.98,0.28,9.05,1.28,0.0,600170,上海建工,3.07,3.04,3.07,3.07,27069369093,27069369093,0.0,0.99,-4.4,-10.59,19980623
15.62,-3.82,-0.62,134191,212788482.0,3.57,1.99,61.22,0.82,0.06,600171,上海贝岭,16.14,15.56,16.08,16.24,10998379611,10524877414,0.0,3.81,-11.25,-0.13,19980924
-,-,-,-,-,-,-,34.24,-,-,600176,中国巨石,-,-,-,16.68,58418478241,58418478241,-,3.56,-,-,19990422
7.16,-1.24,-0.09,162487,117325158.0,1.79,0.35,4.45,0.71,-0.14,600177,雅戈尔,7.28,7.15,7.25,7.25,33143661287,33143661287,0.0,1.19,-1.51,5.76,19981119
