最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
9.98,1.73,0.17,715955,709188720.0,2.34,0.24,4.91,1.1,0.1,600000,浦发银行,9.99,9.76,9.84,9.81,292934298587,292934298587,0.0,0.57,-3.76,-15.21,19991110
14.82,0.27,0.04,139581,206141746.0,2.03,0.67,-87.87,0.54,0.14,600004,白云机场,14.9,14.6,14.6,14.78,35074764954,30667330017,-0.07,1.83,-2.95,-14.38,20030428
13.22,1.07,0.14,18874,24670452.0,2.45,0.19,16.31,1.05,0.08,600007,中国国贸,13.22,12.9,13.06,13.08,13316275099,13316275099,0.0,1.71,-2.72,-22.78,19990312
3.05,0.33,0.01,285548,86796546.0,1.32,0.39,18.09,0.77,0.0,600008,首创股份,3.06,3.02,3.04,3.04,22388801565,22388801565,0.0,1.45,-4.69,1.67,20000427
81.9,2.16,1.73,113292,924466656.0,2.36,1.04,-160.51,0.8,-0.1,600009,上海机场,82.3,80.41,80.41,80.17,157817896891,89555716914,-0.09,5.31,2.15,5.05,19980218
1.21,-0.82,-0.01,3450729,418345376.0,2.46,1.09,247.45,0.62,0.0,600010,包钢股份,1.23,1.2,1.23,1.22,55157889504,38329426020,0.0,1.04,4.31,-8.33,20010309
5.25,3.75,0.19,587166,304155184.0,4.94,0.53,6.77,2.64,0.19,600011,华能国际,5.27,5.02,5.05,5.06,82414990135,57737977075,0.0,1.04,-7.08,-3.67,20011206
5.93,-1.33,-0.08,82850,49146156.0,3.16,0.71,15.32,1.01,0.0,600012,皖通高速,6.05,5.86,6.03,6.01,9835557300,6912008000,0.0,0.91,11.05,4.96,20030107
6.41,0.79,0.05,219162,140468761.0,1.42,0.17,5.24,0.87,0.0,600015,华夏银行,6.44,6.35,6.35,6.36,98632105731,82193421446,-0.31,0.46,0.47,-13.61,20030912
5.23,0.58,0.03,699177,364757296.0,0.96,0.2,4.6,0.78,0.0,600016,民生银行,5.24,5.19,5.2,5.2,228982048765,185466904404,-0.19,0.49,-5.42,-11.95,20001219
4.61,0.22,0.01,301943,138243619.0,1.74,0.13,13.33,0.55,0.0,600018,上港集团,4.62,4.54,4.59,4.6,106830640137,106830640137,-0.22,1.25,4.3,-18.12,20061026
6.38,0.0,0.0,618882,392836864.0,2.19,0.28,13.56,0.47,0.16,600019,宝钢股份,6.42,6.28,6.39,6.38,142079076007,141355169148,-0.16,0.79,30.2,16.85,20001212
3.51,-0.57,-0.02,37300,13114030.0,1.13,0.17,47.31,0.62,0.0,600020,中原高速,3.54,3.5,3.53,3.53,7888275130,7888275130,-0.28,0.77,-4.1,-19.12,20030808
7.52,2.73,0.2,128196,96047014.0,3.42,0.55,12.23,2.93,0.0,600021,上海电力,7.58,7.33,7.36,7.32,19681074761,17651292214,-0.13,1.18,-2.84,-5.05,20031029
4.44,2.07,0.09,483508,211862745.0,3.91,0.54,13.79,1.33,0.0,600025,华能水电,4.45,4.28,4.35,4.35,79920000000,39640320000,0.0,1.65,11.56,9.09,20171215
7.26,-0.55,-0.04,319866,231690588.0,2.33,1.17,7.8,0.42,0.0,600026,中远海能,7.35,7.18,7.3,7.3,34577143085,19863598571,-0.14,0.96,-5.96,14.51,20020523
3.73,5.07,0.18,1009087,373113536.0,6.76,1.24,7.6,3.81,0.0,600027,华电国际,3.79,3.55,3.55,3.55,36788902916,30383621588,0.0,0.78,-9.25,5.97,20050203
4.26,0.71,0.03,1623300,693776512.0,1.65,0.17,16.46,0.91,-0.47,600028,中国石化,4.3,4.23,4.23,4.23,515763353092,407076104656,-0.23,0.71,7.04,-12.16,20010808
6.36,1.27,0.08,403343,255339801.0,2.39,0.5,-9.8,0.79,0.16,600029,南方航空,6.38,6.23,6.32,6.28,97494363232,51589269941,0.16,1.35,11.78,-11.42,20030725
29.3,0.27,0.08,620010,1809506496.0,1.33,0.63,22.44,0.69,0.03,600030,中信证券,29.39,29.0,29.21,29.22,378754537650,287569587810,0.03,2.11,-4.65,18.15,20030106
29.61,0.99,0.29,521332,1524574368.0,3.1,0.62,15.12,0.8,0.07,600031,三一重工,29.69,28.78,29.28,29.32,250965928227,250965928227,0.0,4.7,33.08,78.05,20030703
45.09,1.49,0.66,351534,1584282512.0,2.05,0.17,11.13,0.82,-0.11,600036,招商银行,45.38,44.47,44.47,44.43,1137162838149,930159104304,-0.16,1.84,21.11,23.94,20020409
52.89,3.26,1.67,70637,368233216.0,4.3,1.2,47.67,0.78,0.0,600038,中直股份,53.03,50.83,51.3,51.22,31177423509,31177423509,0.0,3.66,-5.08,11.56,20001218
5.07,-1.55,-0.08,333304,169475068.0,2.72,0.92,10.55,1.11,-0.2,600039,四川路桥,5.18,5.04,5.17,5.15,24181873465,18305364336,-0.2,1.12,23.36,54.1,20030325
