最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
18.7,-0.05,-0.01,663112,1251086864.0,1.98,0.34,12.15,0.82,0.0,000001,平安银行,19.05,18.68,18.79,18.71,362890670303,362887575116,0.0,1.26,21.19,15.22,19910403
28.7,-1.64,-0.48,624426,1810325264.0,2.67,0.64,12.59,0.91,-0.03,000002,万  科Ａ,29.44,28.66,29.4,29.18,333428914169,278800838635,0.03,1.65,1.41,-7.89,19910129
-,-,-,-,-,-,-,-,-,-,000003,PT金田A,-,-,-,2.71,-,-,-,-,-,-,19910703
24.37,-3.75,-0.95,42957,105590299.0,4.74,5.12,52.52,1.21,-0.33,000004,国华网安,25.35,24.15,25.35,25.32,4022332471,2045098329,-0.29,2.77,1.71,7.88,19910114
2.53,-1.17,-0.03,102631,26081317.0,1.95,0.97,-72.84,1.2,0.4,000005,世纪星源,2.57,2.52,2.56,2.56,2678098210,2676603992,0.4,1.65,-15.67,-18.12,19901210
5.51,-2.3,-0.13,66924,37450292.0,2.66,0.5,10.93,0.66,-0.36,000006,深振业Ａ,5.66,5.51,5.64,5.64,7438472703,7429176926,-0.18,1.06,-8.93,6.37,19920427
8.12,-1.22,-0.1,66547,53630847.0,3.65,2.15,-46.35,0.81,0.37,000007,全新好,8.25,7.95,8.21,8.22,2813158117,2508658117,0.12,17.17,-12.41,-14.53,19920413
2.69,-1.47,-0.04,149658,40585453.0,2.2,0.56,-23.21,0.66,0.0,000008,神州高铁,2.74,2.68,2.73,2.73,7480339481,7169340314,0.0,1.04,-12.66,-25.69,19920507
7.08,-2.34,-0.17,320116,229033657.0,3.17,1.25,26.26,0.95,0.0,000009,中国宝安,7.3,7.07,7.26,7.25,18260834872,18067437755,0.0,2.7,-2.07,14.75,19910625
4.02,-0.99,-0.04,31920,12881942.0,1.72,0.61,94.99,0.84,0.25,000010,美丽生态,4.08,4.01,4.07,4.06,3295815946,2099129422,0.25,6.92,-8.64,18.24,19951027
12.79,-2.37,-0.31,60287,78370761.0,3.74,1.15,29.71,0.89,-0.08,000011,深物业A,13.25,12.76,13.06,13.1,7622572587,6733622195,0.0,2.44,-25.2,41.33,19920330
