最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
19.3,-1.23,-0.24,891348,1707639072.0,2.56,0.46,12.54,0.86,0.21,000001,平安银行,19.47,18.97,19.47,19.54,374534221221,374531026724,0.0,1.3,29.53,18.92,19910403
30.0,-2.91,-0.9,812748,2463450640.0,3.88,0.84,13.16,0.93,-0.23,000002,万  科Ａ,31.14,29.94,31.12,30.9,348531966030,291429448050,-0.13,1.72,7.87,-3.72,19910129
-,-,-,-,-,-,-,-,-,-,000003,PT金田A,-,-,-,2.71,-,-,-,-,-,-,19910703
26.26,-0.57,-0.15,21684,56937431.0,1.78,2.58,56.59,0.48,-0.23,000004,国华网安,26.48,26.01,26.3,26.41,4334281933,2203704642,-0.04,2.99,8.24,16.25,19910114
2.61,0.38,0.01,67271,17475797.0,1.15,0.64,-75.15,0.5,0.38,000005,世纪星源,2.61,2.58,2.6,2.6,2762781158,2761239692,0.0,1.7,-11.22,-15.53,19901210
5.76,-1.03,-0.06,82106,47355600.0,1.37,0.61,11.43,0.63,0.17,000006,深振业Ａ,5.82,5.74,5.81,5.82,7775971465,7766253919,0.0,1.11,-5.26,11.2,19920427
8.14,0.74,0.06,78795,63675935.0,5.2,2.55,-46.47,0.88,0.0,000007,全新好,8.28,7.86,8.0,8.08,2820087078,2514837078,0.37,17.21,-10.06,-14.32,19920413
2.76,-0.36,-0.01,161341,44574542.0,2.17,0.61,-23.81,0.66,-0.36,000008,神州高铁,2.79,2.73,2.74,2.77,7674995155,7355903073,0.0,1.07,-8.91,-23.76,19920507
7.22,-0.28,-0.02,163765,117916224.0,1.24,0.64,26.78,0.45,-0.14,000009,中国宝安,7.24,7.15,7.19,7.24,18621924827,18424703473,-0.14,2.75,-2.7,17.02,19910625
4.15,1.72,0.07,64454,26717178.0,4.9,1.23,98.06,1.52,-0.48,000010,美丽生态,4.26,4.06,4.08,4.08,3402397059,2167011717,-0.72,7.14,-8.99,22.06,19951027
13.58,0.22,0.03,56923,76608894.0,2.36,1.08,31.55,0.6,0.37,000011,深物业A,13.64,13.32,13.5,13.55,8093396069,7149537874,0.15,2.59,-26.12,50.06,19920330
6.75,-0.44,-0.03,321154,215578341.0,2.21,1.64,21.39,0.66,0.45,000012,南  玻Ａ,6.78,6.63,6.77,6.78,20727171722,13210150687,0.0,2.04,18.21,36.64,19920228
-,-,-,-,-,-,-,-,-,-,000013,*ST石化A,-,-,-,2.47,-,-,-,-,-,-,19920506
9.21,-0.97,-0.09,23502,21662684.0,1.61,1.17,100.73,1.14,0.0,000014,沙河股份,9.32,9.17,9.3,9.3,1857704772,1857704772,-0.11,2.06,-14.56,-0.97,19920602
-,-,-,-,-,-,-,-,-,-,000015,PT中浩A,-,-,-,6.85,-,-,-,-,-,-,19920625
6.86,-2.14,-0.15,464568,320837872.0,3.57,2.91,20.13,0.79,0.15,000016,深康佳Ａ,7.07,6.82,7.05,7.01,16518505499,10952499698,-0.15,1.94,-3.11,58.8,19920327
2.57,-0.77,-0.02,44046,11384095.0,5.02,1.45,201.92,1.25,0.0,000017,*ST中华A,2.65,2.52,2.63,2.59,1416964224,778661191,0.0,114.43,-1.15,-43.14,19920331
-,-,-,-,-,-,-,-,-,-,000018,神城A退,-,-,-,0.27,-,-,-,-,-,-,19920616
8.03,-0.99,-0.08,57400,46275351.0,1.6,1.38,22.36,1.0,-0.12,000019,深粮控股,8.15,8.02,8.1,8.11,9254858090,3341964201,0.0,2.06,-15.38,36.56,19921012
10.44,0.77,0.08,15281,15960705.0,2.7,0.84,457.04,1.13,0.0,000020,深华发Ａ,10.55,10.27,10.33,10.36,2956203210,1891366682,0.0,8.84,-13.43,-2.16,19920428
21.35,0.61,0.13,184899,396110640.0,2.69,1.26,52.83,0.96,0.09,000021,深科技,21.69,21.12,21.12,21.22,31411387400,31363670065,0.05,4.34,-14.97,76.16,19940202
17.32,0.0,0.0,2517,4359597.0,1.27,0.18,-469.64,0.56,-0.06,000023,深天地Ａ,17.44,17.22,17.35,17.32,2403258077,2403258077,-0.17,5.13,0.81,33.13,19930429
-,-,-,-,-,-,-,-,-,-,000024,招商地产,-,-,-,40.5,-,-,-,-,-,-,19930607
18.88,-0.05,-0.01,21809,41162274.0,0.79,0.56,153.99,0.76,0.11,000025,特  力Ａ,18.96,18.81,18.89,18.89,8138381082,7415654682,0.0,6.3,-12.47,-10.78,19930621
12.63,1.28,0.16,41978,52574205.0,2.89,1.18,18.88,0.65,0.56,000026,飞亚达,12.7,12.34,12.52,12.47,5406800457,4505327728,0.16,1.97,-33.46,15.98,19930603
5.6,0.0,0.0,122719,68293983.0,1.07,0.26,5.13,0.43,0.18,000027,深圳能源,5.6,5.54,5.6,5.6,26641383530,26641383530,0.18,0.97,0.72,9.16,19930903
