最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
39.2,-2.78,-1.12,12039,48019536.0,3.35,3.13,55.57,1.43,-0.1,688001,华兴源创,40.55,39.2,40.18,40.32,16820187586,1507286883,-0.08,6.04,-1.48,-11.21,20190722
97.7,0.44,0.43,40515,399101520.0,2.41,1.77,70.16,0.96,-0.19,688002,睿创微纳,99.5,97.16,97.54,97.27,43476500000,22346781289,0.01,15.6,16.8,156.83,20190722
32.12,-1.68,-0.55,16057,52179160.0,2.91,2.25,262.26,1.18,-0.31,688003,天准科技,33.06,32.11,32.51,32.67,6218432000,2292275920,-0.34,4.3,-0.53,10.23,20190722
55.41,-2.82,-1.61,2130,11946887.0,3.7,1.66,146.85,1.09,0.05,688004,博汇科技,57.49,55.38,57.49,57.02,3147288000,712802552,-0.34,4.61,-20.1,92.6,20200612
38.18,0.47,0.18,132131,514564016.0,6.34,4.82,111.86,2.31,-0.44,688005,容百科技,40.09,37.68,38.0,38.0,16924648026,10461713254,-0.05,3.86,38.58,15.07,20190722
59.75,-0.55,-0.33,24145,144938858.0,2.96,2.53,58.4,1.45,-0.08,688006,杭可科技,60.79,59.01,60.2,60.08,23959750000,5692885894,0.0,9.68,0.61,51.23,20190722
21.85,-0.09,-0.02,21019,46313424.0,1.92,0.74,168.1,1.25,0.0,688007,光峰科技,22.22,21.8,21.91,21.87,9892738287,6190107950,0.05,4.92,-8.81,-20.92,20190722
82.5,-0.7,-0.58,84887,704446592.0,2.19,2.02,79.64,1.33,0.11,688008,澜起科技,83.5,81.68,82.0,83.08,93209645843,34666650398,0.1,11.73,6.08,15.69,20190722
6.06,-0.16,-0.01,229002,139295844.0,1.15,1.16,18.15,1.34,0.17,688009,中国通号,6.11,6.04,6.08,6.07,64174303140,12002384951,0.0,1.66,-1.3,-9.82,20190722
33.02,-2.39,-0.81,12036,40117918.0,3.28,1.97,108.56,1.08,-0.48,688010,福光股份,33.99,32.88,33.99,33.83,5071275758,2014084651,-0.45,2.84,-11.95,-20.55,20190722
