最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
9.91,-0.7,-0.07,440901,440752944.0,1.8,0.15,4.88,0.81,0.0,600000,浦发银行,10.09,9.91,9.98,9.98,290879649199,290879649199,-0.1,0.57,-1.39,-15.8,19991110
-,-,-,-,-,-,-,-,-,-,600001,邯郸钢铁,-,-,-,5.29,-,-,-,-,-,-,19980122
-,-,-,-,-,-,-,-,-,-,600002,齐鲁石化,-,-,-,10.09,-,-,-,-,-,-,19980408
-,-,-,-,-,-,-,-,-,-,600003,ST东北高,-,-,-,3.87,-,-,-,-,-,-,19990810
14.46,-1.3,-0.19,106533,154958262.0,2.87,0.51,-85.73,0.93,0.28,600004,白云机场,14.78,14.36,14.78,14.65,34222746372,29922374632,0.14,1.78,-6.23,-16.46,20030428
-,-,-,-,-,-,-,-,-,-,600005,武钢股份,-,-,-,3.71,-,-,-,-,-,-,19990803
5.88,-3.92,-0.24,502824,302507728.0,5.23,2.51,17.99,0.83,0.0,600006,东风汽车,6.16,5.84,6.13,6.12,11760000000,11760000000,-0.34,1.51,23.53,30.38,19990727
12.73,-0.93,-0.12,12162,15598270.0,1.56,0.12,15.7,0.93,-0.31,600007,中国国贸,12.92,12.72,12.85,12.85,12822706658,12822706658,0.08,1.64,-6.88,-25.64,19990312
2.95,-1.67,-0.05,319049,95094328.0,2.0,0.43,17.5,1.01,-0.34,600008,首创股份,3.01,2.95,2.99,3.0,21654742497,21654742497,0.0,1.4,-5.14,-1.67,20000427
76.39,-3.17,-2.5,128014,988069216.0,3.56,1.17,-149.71,1.49,0.1,600009,上海机场,79.0,76.19,78.5,78.89,147200355843,83530661967,0.16,4.95,-0.59,-2.01,19980218
1.17,-0.85,-0.01,2365726,278046720.0,1.69,0.75,239.27,1.02,0.0,600010,包钢股份,1.19,1.17,1.17,1.18,53334488198,37062337557,-0.85,1.01,-1.68,-11.36,20010309
4.74,-2.27,-0.11,251916,120674373.0,2.47,0.23,6.11,0.85,-0.42,600011,华能国际,4.86,4.74,4.85,4.85,74408962522,52129145016,-0.21,0.94,-16.25,-13.03,20011206
6.42,-0.31,-0.02,96129,62539410.0,3.42,0.82,16.59,1.28,0.16,600012,皖通高速,6.62,6.4,6.48,6.44,10648276200,7483152000,-0.31,0.98,19.11,13.63,20030107
6.37,-0.93,-0.06,248973,160013241.0,1.87,0.19,5.21,0.58,0.0,600015,华夏银行,6.48,6.36,6.45,6.43,98016616772,81680513980,0.0,0.46,1.27,-14.15,20030912
5.36,0.75,0.04,1319178,709653664.0,1.13,0.37,4.71,1.32,0.0,600016,民生银行,5.4,5.34,5.35,5.32,234673763171,190076980422,0.0,0.51,-2.72,-9.76,20001219
