最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
18.7,-0.05,-0.01,663112,1251086864.0,1.98,0.34,12.15,0.81,0.0,000001,平安银行,19.05,18.68,18.79,18.71,362890670303,362887575116,0.05,1.26,21.19,15.22,19910403
28.7,-1.64,-0.48,624426,1810325264.0,2.67,0.64,12.59,0.91,0.03,000002,万  科Ａ,29.44,28.66,29.4,29.18,333428914169,278800838635,0.0,1.65,1.41,-7.89,19910129
5.51,-2.3,-0.13,66924,37450292.0,2.66,0.5,10.93,0.65,-0.18,000006,深振业Ａ,5.66,5.51,5.64,5.64,7438472703,7429176926,0.0,1.06,-8.93,6.37,19920427
2.69,-1.47,-0.04,149658,40585453.0,2.2,0.56,-23.21,0.65,0.0,000008,神州高铁,2.74,2.68,2.73,2.73,7480339481,7169340314,0.0,1.04,-12.66,-25.69,19920507
7.08,-2.34,-0.17,320116,229033657.0,3.17,1.25,26.26,0.94,0.0,000009,中国宝安,7.3,7.07,7.26,7.25,18260834872,18067437755,0.0,2.7,-2.07,14.75,19910625
6.65,-2.21,-0.15,469474,315752128.0,3.09,2.4,21.07,0.87,-0.15,000012,南  玻Ａ,6.85,6.64,6.77,6.8,20420102512,13014444751,-0.15,2.01,20.25,34.62,19920228
6.86,-3.38,-0.24,333048,231685299.0,3.8,2.09,20.13,0.51,0.44,000016,深康佳Ａ,7.08,6.81,7.07,7.1,16518505499,10952499698,0.29,1.94,-3.52,58.8,19920327
7.79,-2.5,-0.2,51802,40829149.0,3.75,1.24,21.69,0.8,0.13,000019,深粮控股,8.05,7.75,7.99,7.99,8978249629,3242079841,0.39,1.99,-14.49,32.48,19921012
20.38,-2.81,-0.59,152081,313864496.0,2.96,1.04,50.43,0.76,0.0,000021,深科技,20.97,20.35,20.95,20.97,29984265818,29938716436,0.0,4.14,-6.94,68.15,19940202
17.95,-4.47,-0.84,61228,111674447.0,5.27,1.56,146.4,2.45,0.11,000025,特  力Ａ,18.87,17.88,18.86,18.79,7737496844,7050370844,0.06,5.99,-18.37,-15.17,19930621
5.47,-1.08,-0.06,94260,51979773.0,1.45,0.2,5.01,0.68,0.0,000027,深圳能源,5.55,5.47,5.53,5.53,26022922841,26022922841,0.0,0.95,-1.08,6.63,19930903
51.78,2.9,1.46,99645,507989952.0,5.39,2.71,16.67,2.04,-0.04,000028,国药一致,52.27,49.56,50.73,50.32,22168415180,19041247103,-0.04,1.64,5.14,15.68,19930809
8.14,-2.98,-0.25,108790,89919393.0,3.34,1.22,31.06,0.84,0.12,000029,深深房Ａ,8.41,8.13,8.39,8.39,8234912400,7258112400,0.0,2.23,-24.7,-24.7,19930915
7.06,-4.59,-0.34,138969,99816711.0,5.41,0.79,13.81,1.26,0.0,000030,富奥股份,7.41,7.01,7.34,7.4,12782497904,12424758942,0.0,1.81,3.98,53.81,19930929
4.71,-1.26,-0.06,45120,21368587.0,1.47,0.25,19.91,0.52,0.0,000031,大悦城,4.77,4.7,4.77,4.77,20188535827,8542409052,0.0,1.05,-9.25,-32.81,19931008
20.01,-3.33,-0.69,29223,59353044.0,3.96,0.71,77.56,1.52,-0.05,000032,深桑达Ａ,20.8,19.98,20.38,20.7,8268525417,8232596421,0.0,5.45,-8.63,41.71,19931028
23.33,-1.06,-0.25,121371,285950928.0,2.84,2.44,29.32,0.73,-0.09,000034,神州数码,23.98,23.31,23.57,23.58,15385164612,11602864114,0.0,3.43,0.91,18.79,19940509
4.43,-1.77,-0.08,51087,22834201.0,2.44,0.21,16.89,0.84,0.0,000035,中国天楹,4.53,4.42,4.51,4.51,11180333426,10868320016,0.0,0.99,-13.48,-28.2,19940408
15.34,0.66,0.1,308658,474798768.0,3.87,2.01,59.29,1.32,0.33,000039,中集集团,15.64,15.05,15.23,15.24,55147508471,23535723706,0.07,1.57,71.78,58.14,19940408
3.83,-2.05,-0.08,79025,30619143.0,3.07,0.15,-24.39,0.77,0.0,000046,泛海控股,3.93,3.81,3.92,3.91,19901448512,19801401735,0.0,0.97,-16.01,-13.93,19940912
52.51,-0.34,-0.18,37301,198674999.0,3.7,1.82,22.15,1.87,-0.1,000049,德赛电池,54.05,52.1,52.3,52.69,10879953222,10777348682,0.02,4.31,1.39,31.14,19950320
15.13,-3.45,-0.54,188596,289300384.0,3.77,1.03,22.66,0.63,-0.07,000050,深天马Ａ,15.69,15.1,15.68,15.67,37185722111,27671525694,0.0,1.12,-3.01,-6.66,19950315
6.83,-2.71,-0.19,54560,37777696.0,2.99,1.01,67.83,1.18,-0.29,000058,深 赛 格,7.03,6.82,7.03,7.02,8439532181,3676466859,-0.15,4.33,-13.76,-6.69,19961226
5.43,-2.86,-0.16,147739,81088994.0,3.58,0.92,-39.02,1.13,0.18,000059,华锦股份,5.6,5.4,5.59,5.59,8684972976,8684793753,0.18,0.66,7.52,-7.34,19970130
4.62,-0.65,-0.03,510316,238902900.0,3.44,1.43,19.77,0.72,0.0,000060,中金岭南,4.77,4.61,4.65,4.65,16491946211,16486336713,0.0,1.46,0.87,9.22,19970123
6.82,-2.43,-0.17,93578,64655587.0,3.0,0.55,31.61,0.7,0.0,000061,农 产 品,7.02,6.81,7.01,6.99,11573295373,11562772809,0.0,2.16,-11.43,23.33,19970110
14.04,0.43,0.06,41748,58862544.0,2.36,0.4,23.85,0.84,-0.07,000062,深圳华强,14.22,13.89,13.99,13.98,14684566881,14666741795,0.0,2.7,-3.31,-0.35,19970130
32.84,-2.84,-0.96,469265,1554087088.0,3.25,1.35,41.9,1.13,0.09,000063,中兴通讯,33.9,32.8,33.81,33.8,151505202050,114163001462,0.0,3.62,-9.36,-6.68,19971118
7.56,-2.83,-0.22,46771,35847695.0,3.6,0.69,8.49,1.25,0.13,000065,北方国际,7.82,7.54,7.78,7.78,5817538374,5088576064,-0.13,1.1,-3.94,-11.68,19980605
15.13,-1.56,-0.24,383495,589580064.0,3.9,1.31,-204.25,0.9,0.07,000066,中国长城,15.7,15.1,15.35,15.37,44303394462,44297788646,-0.13,5.63,-11.0,-2.2,19970626
6.85,-2.0,-0.14,292511,202376282.0,2.43,0.41,8.03,0.82,0.0,000069,华侨城Ａ,7.01,6.84,6.99,6.99,56182288318,48338724766,0.0,0.8,-6.42,-8.54,19970910
9.89,-3.51,-0.36,128610,128727765.0,4.39,1.62,-381.6,1.4,0.0,000070,特发信息,10.31,9.86,10.28,10.25,8075770656,7864773925,0.0,2.85,-8.26,-8.26,20000511
4.03,-1.95,-0.08,149357,60662912.0,2.43,0.57,41.5,0.9,0.0,000078,海王生物,4.12,4.02,4.11,4.11,11085858026,10563434158,0.0,1.72,-7.14,8.04,19981218
8.4,-1.75,-0.15,91702,77619299.0,2.57,0.45,-209.85,0.81,0.12,000089,深圳机场,8.59,8.37,8.55,8.55,17226463876,17226463876,0.0,1.46,-10.92,-13.31,19980420
