最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
19.3,-1.23,-0.24,891348,1707639072.0,2.56,0.46,12.54,0.86,0.21,000001,平安银行,19.47,18.97,19.47,19.54,374534221221,374531026724,0.0,1.3,29.53,18.92,19910403
30.0,-2.91,-0.9,812748,2463450640.0,3.88,0.84,13.16,0.93,-0.23,000002,万  科Ａ,31.14,29.94,31.12,30.9,348531966030,291429448050,-0.13,1.72,7.87,-3.72,19910129
5.76,-1.03,-0.06,82106,47355600.0,1.37,0.61,11.43,0.63,0.17,000006,深振业Ａ,5.82,5.74,5.81,5.82,7775971465,7766253919,0.0,1.11,-5.26,11.2,19920427
2.76,-0.36,-0.01,161341,44574542.0,2.17,0.61,-23.81,0.66,-0.36,000008,神州高铁,2.79,2.73,2.74,2.77,7674995155,7355903073,0.0,1.07,-8.91,-23.76,19920507
7.22,-0.28,-0.02,163765,117916224.0,1.24,0.64,26.78,0.45,-0.14,000009,中国宝安,7.24,7.15,7.19,7.24,18621924827,18424703473,-0.14,2.75,-2.7,17.02,19910625
6.75,-0.44,-0.03,321154,215578341.0,2.21,1.64,21.39,0.66,0.45,000012,南  玻Ａ,6.78,6.63,6.77,6.78,20727171722,13210150687,0.0,2.04,18.21,36.64,19920228
6.86,-2.14,-0.15,464568,320837872.0,3.57,2.91,20.13,0.79,0.15,000016,深康佳Ａ,7.07,6.82,7.05,7.01,16518505499,10952499698,-0.15,1.94,-3.11,58.8,19920327
8.03,-0.99,-0.08,57400,46275351.0,1.6,1.38,22.36,1.0,-0.12,000019,深粮控股,8.15,8.02,8.1,8.11,9254858090,3341964201,0.0,2.06,-15.38,36.56,19921012
21.35,0.61,0.13,184899,396110640.0,2.69,1.26,52.83,0.96,0.09,000021,深科技,21.69,21.12,21.12,21.22,31411387400,31363670065,0.05,4.34,-14.97,76.16,19940202
18.88,-0.05,-0.01,21809,41162274.0,0.79,0.56,153.99,0.76,0.11,000025,特  力Ａ,18.96,18.81,18.89,18.89,8138381082,7415654682,0.0,6.3,-12.47,-10.78,19930621
5.6,0.0,0.0,122719,68293983.0,1.07,0.26,5.13,0.43,0.18,000027,深圳能源,5.6,5.54,5.6,5.6,26641383530,26641383530,0.18,0.97,0.72,9.16,19930903
51.73,1.93,0.98,55210,284740016.0,4.18,1.5,16.65,1.51,0.06,000028,国药一致,52.68,50.56,50.78,50.75,22147008831,19022860421,0.0,1.63,-2.95,15.57,19930809
8.58,-2.05,-0.18,119494,103187174.0,2.4,1.34,32.74,0.85,-0.12,000029,深深房Ａ,8.78,8.57,8.67,8.76,8680042800,7650442800,-0.12,2.35,-20.63,-20.63,19930915
7.43,-0.8,-0.06,104853,77601650.0,2.8,0.6,14.53,0.89,0.27,000030,富奥股份,7.52,7.31,7.48,7.49,13452402185,13075914864,0.27,1.9,8.63,61.87,19930929
4.87,-1.02,-0.05,63849,31009766.0,2.03,0.35,20.59,0.49,0.21,000031,大悦城,4.93,4.83,4.93,4.92,20874345961,8832597045,0.41,1.08,-8.46,-30.53,19931008
21.43,0.8,0.17,10486,22369732.0,2.68,0.25,83.07,0.61,0.05,000032,深桑达Ａ,21.57,21.0,21.22,21.26,8855297335,8816818656,0.05,5.84,-4.97,51.77,19931028
24.27,-1.34,-0.33,132970,322369600.0,2.15,2.67,30.5,0.67,0.12,000034,神州数码,24.58,24.05,24.48,24.6,16005055514,12070360568,0.0,3.57,-5.31,23.57,19940509
4.61,0.0,0.0,64633,29638794.0,1.3,0.26,17.58,1.17,0.22,000035,中国天楹,4.62,4.56,4.6,4.61,11634613339,11309922183,0.0,1.03,-11.69,-25.28,19940408
14.81,1.23,0.18,226355,334182768.0,3.01,1.48,57.24,0.76,0.34,000039,中集集团,14.99,14.55,14.8,14.63,53242151268,22722559849,-0.13,1.52,68.68,52.68,19940408
4.01,-1.23,-0.05,93779,37571579.0,2.22,0.18,-25.53,0.7,0.25,000046,泛海控股,4.06,3.97,4.04,4.06,20836764631,20732015916,0.25,1.02,-6.31,-9.89,19940912
51.9,0.04,0.02,16966,87969345.0,2.26,0.83,21.89,0.55,-0.08,000049,德赛电池,52.51,51.34,52.5,51.88,10753562602,10652150002,-0.04,4.26,-8.47,29.62,19950320
15.84,-0.63,-0.1,198162,313102896.0,2.45,1.08,23.73,0.57,0.06,000050,深天马Ａ,16.02,15.63,15.8,15.94,38930722950,28970057303,0.06,1.17,-2.82,-2.28,19950315
7.07,-0.7,-0.05,45837,32440447.0,1.69,0.85,70.21,0.88,0.0,000058,深 赛 格,7.16,7.04,7.12,7.12,8736089680,3805654567,0.0,4.48,-12.5,-3.42,19961226
5.72,0.35,0.02,139288,78918791.0,2.28,0.87,-41.1,0.87,0.35,000059,华锦股份,5.73,5.6,5.68,5.7,9148811312,9148622517,0.0,0.7,12.16,-2.39,19970130
