最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
19.5,2.31,0.44,639658,1240074384.0,3.04,0.33,12.67,0.75,-0.1,000001,平安银行,19.61,19.03,19.05,19.06,378415404861,378412177260,-0.05,1.31,35.7,20.15,19910403
30.94,0.45,0.14,584040,1788275568.0,3.08,0.6,13.57,1.04,0.0,000002,万  科Ａ,31.07,30.12,30.78,30.8,359452634299,300560904089,0.03,1.77,14.25,-0.71,19910129
-,-,-,-,-,-,-,-,-,-,000003,PT金田A,-,-,-,2.71,-,-,-,-,-,-,19910703
28.7,-3.59,-1.07,53636,155895224.0,4.03,6.39,61.85,0.53,-0.07,000004,国农科技,29.7,28.5,29.7,29.77,4737010338,2408466231,0.0,3.27,20.59,27.05,19910114
2.6,-1.89,-0.05,129060,33637303.0,3.02,1.22,-74.86,1.94,-0.38,000005,世纪星源,2.66,2.58,2.66,2.65,2752195789,2750660229,0.0,1.7,-13.91,-15.86,19901210
5.63,-0.88,-0.05,93864,52957716.0,1.23,0.7,11.17,0.95,-0.18,000006,深振业Ａ,5.68,5.61,5.66,5.68,7600472109,7590973882,-0.18,1.08,-12.71,8.69,19920427
9.49,1.28,0.12,79335,74532950.0,4.27,2.57,-54.17,3.08,1.17,000007,全新好,9.65,9.25,9.5,9.37,3287791938,2931916938,0.64,20.07,3.6,-0.11,19920413
2.74,0.37,0.01,119366,32659958.0,1.1,0.45,-23.64,0.92,0.0,000008,神州高铁,2.75,2.72,2.74,2.73,7619379248,7302599428,0.0,1.06,-10.46,-24.31,19920507
7.49,-2.73,-0.21,363074,273077040.0,2.99,1.42,27.78,1.02,-0.13,000009,中国宝安,7.68,7.45,7.64,7.7,19318312598,19113715930,-0.13,2.86,-1.96,21.39,19910625
4.05,0.5,0.02,27830,11290085.0,1.49,0.53,95.7,0.73,0.0,000010,美丽生态,4.09,4.03,4.05,4.03,3320411588,2114794567,0.0,6.97,-3.8,19.12,19951027
13.38,-3.32,-0.46,69265,93396720.0,3.97,1.32,31.08,1.09,0.22,000011,深物业A,13.84,13.29,13.81,13.84,7974200251,7044242765,0.07,2.55,-36.92,47.85,19920330
6.97,-1.97,-0.14,494986,346959584.0,3.8,2.53,22.09,0.46,0.0,000012,南  玻Ａ,7.19,6.92,7.11,7.11,21402723986,13640703746,-0.14,2.11,21.85,41.09,19920228
-,-,-,-,-,-,-,-,-,-,000013,*ST石化A,-,-,-,2.47,-,-,-,-,-,-,19920506
9.12,-0.55,-0.05,14946,13632857.0,1.53,0.74,99.75,0.78,0.11,000014,沙河股份,9.21,9.07,9.18,9.17,1839551305,1839551305,0.0,2.04,-18.5,-1.94,19920602
-,-,-,-,-,-,-,-,-,-,000015,PT中浩A,-,-,-,6.85,-,-,-,-,-,-,19920625
