最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
21.25,-2.52,-0.55,7094,15303863.0,3.76,1.77,41.87,0.98,0.09,002971,和远气体,21.99,21.17,21.8,21.8,3400000000,850000000,0.38,3.19,-15.41,96.4,20200113
20.19,-2.42,-0.5,5629,11488212.0,2.51,1.28,29.61,0.87,0.05,002972,科安达,20.7,20.18,20.7,20.69,3559900800,889975200,0.05,3.24,-20.61,1.56,20191227
25.2,0.24,0.06,19009,48358397.0,2.55,4.65,26.36,1.51,-0.12,002973,侨银环保,25.75,25.11,25.48,25.14,10298232000,1030428000,-0.2,7.71,-6.74,341.33,20200106
110.0,-2.4,-2.71,11556,129684508.0,3.74,3.33,37.37,0.92,-0.34,002975,博杰股份,114.2,109.99,113.0,112.71,15282674000,3820674000,-0.32,11.65,38.71,549.35,20200205
30.16,-1.63,-0.5,5655,17141632.0,2.25,2.26,50.47,1.05,0.17,002976,瑞玛工业,30.79,30.1,30.73,30.66,3016000000,754000000,0.1,4.04,-11.42,62.94,20200306
133.88,-1.53,-2.08,11618,153974805.0,5.35,6.49,185.37,0.89,0.02,002977,天箭科技,136.49,129.21,134.2,135.96,9572420000,2396452000,0.0,10.87,15.41,349.56,20200317
49.03,-3.39,-1.72,32009,159546234.0,5.24,7.88,28.26,0.94,0.47,002978,安宁股份,50.95,48.29,50.83,50.75,19661030000,1990618000,-0.57,5.1,32.23,80.12,20200417
46.79,-2.93,-1.41,11195,53202101.0,4.4,2.15,50.5,0.63,0.17,002979,雷赛智能,48.8,46.68,48.4,48.2,9732320000,2433080000,0.13,9.23,16.63,414.18,20200408
49.02,-0.59,-0.29,7379,36645211.0,2.31,2.21,15.55,0.58,-0.18,002980,华盛昌,50.15,49.01,49.32,49.31,6536003268,1634003268,-0.28,6.31,-17.0,251.9,20200415
34.98,10.0,3.18,33317,114395911.0,9.84,13.88,67.44,5.24,0.0,002981,朝阳科技,34.98,31.85,32.05,31.8,3358080000,839520000,0.0,4.05,-8.5,103.14,20200417
77.62,-5.47,-4.49,24978,198752062.0,5.91,9.75,33.0,0.92,-0.03,002982,湘佳股份,82.45,77.6,82.05,82.11,7907925600,1989400600,0.0,4.91,-35.05,163.74,20200424
34.99,1.42,0.49,23298,81826973.0,7.8,6.58,60.45,1.67,0.17,002983,芯瑞达,36.44,33.75,34.49,34.5,4957383200,1239345800,0.14,4.95,-11.26,169.78,20200428
23.98,-2.04,-0.5,33349,80566610.0,3.02,4.83,16.32,0.79,0.0,002984,森麒麟,24.67,23.93,24.6,24.48,15579061181,1654620000,0.04,2.84,26.48,26.48,20200911
156.31,-1.61,-2.55,8559,135039237.0,2.79,2.28,101.49,0.73,-0.19,002985,北摩高科,160.0,155.56,158.44,158.86,23471509600,5867877400,-0.01,12.19,-2.31,626.01,20200429
40.29,-2.23,-0.92,4309,17494465.0,2.6,1.52,86.87,0.71,0.0,002986,宇新股份,41.25,40.18,40.88,41.21,4566468600,1141818600,-0.02,2.38,-18.79,3.33,20200602
51.96,-3.15,-1.69,12461,65600738.0,3.99,3.1,34.01,1.36,0.12,002987,京北方,53.97,51.83,53.69,53.65,8348017369,2087233200,0.12,4.97,-10.06,125.52,20200507
16.19,-5.93,-1.02,38583,64178950.0,5.64,6.63,46.09,1.09,-0.12,002988,豪美新材,17.13,16.16,17.11,17.21,3768546300,942486959,-0.12,1.82,-8.22,47.99,20200518
40.58,-2.45,-1.02,12436,50779056.0,3.1,3.29,29.47,1.2,0.17,002989,中天精装,41.6,40.31,41.6,41.6,6143812000,1535953000,0.1,3.85,-33.05,68.24,20200610
81.62,-0.46,-0.38,20586,171904543.0,4.49,6.52,50.21,1.1,-0.07,002990,盛视科技,85.2,81.52,82.5,82.0,10303708800,2575927200,-0.1,5.67,-9.36,121.73,20200525
97.5,-3.58,-3.62,9670,96041446.0,4.79,4.15,54.93,0.83,0.28,002991,甘源食品,101.95,97.11,101.19,101.12,9088543523,2272140000,0.0,6.65,-26.04,158.69,20200731
32.96,10.01,3.0,41241,131956511.0,10.58,11.95,66.21,3.22,0.0,002992,宝明科技,32.96,29.79,29.9,29.96,4547192912,1137120000,0.0,2.96,-4.44,47.47,20200803
80.96,3.98,3.1,54765,442597088.0,5.1,12.12,46.13,2.02,0.25,002993,奥海科技,81.99,78.02,78.28,77.86,14637568000,3659392000,0.05,6.84,-12.71,201.19,20200817
58.05,-2.78,-1.66,5209,30495321.0,3.43,3.22,39.18,1.35,0.16,002995,天地在线,59.88,57.83,59.77,59.71,3754093500,938668500,0.09,3.79,-8.11,71.54,20200805
15.9,-1.18,-0.19,134481,216285750.0,5.22,25.37,46.74,0.53,0.7,002996,顺博合金,16.5,15.66,15.8,16.09,6980100000,842700000,0.38,3.86,5.02,89.06,20200828
18.44,-3.51,-0.67,30077,56134825.0,4.34,6.55,32.51,0.73,-0.22,002997,瑞鹄模具,19.21,18.38,19.16,19.11,3385584000,846396000,0.11,3.2,-22.94,47.76,20200903
10.0,-1.67,-0.17,63124,64452222.0,3.24,7.74,28.64,0.74,-0.6,002998,优彩资源,10.33,10.0,10.23,10.17,3263984000,815996000,-0.5,2.41,70.94,70.94,20200925
12.07,-3.21,-0.4,33970,41660215.0,3.85,5.47,32.22,0.74,-0.25,002999,天禾股份,12.55,12.07,12.47,12.47,2996739600,749305600,-0.25,2.93,-4.81,82.33,20200903
17.7,-5.35,-1.0,55449,102271216.0,9.25,13.86,62.73,1.04,-0.17,003000,华文食品,19.23,17.5,18.98,18.7,7080177000,708177000,-0.11,7.96,259.76,259.76,20200914
35.81,-1.35,-0.49,7722,27958843.0,1.93,3.18,30.2,0.37,-0.56,003001,中岩大地,36.5,35.8,36.3,36.3,3479847923,869961981,-0.25,2.76,18.73,18.73,20201013
16.69,-5.28,-0.93,55060,93916717.0,5.62,11.01,36.16,0.9,-0.3,003002,壶化股份,17.68,16.69,17.68,17.62,3338000000,834500000,-0.12,3.29,103.04,103.04,20200922
16.94,-5.15,-0.92,58344,100957121.0,5.15,13.2,52.29,0.65,-0.12,003003,天元股份,17.74,16.82,17.7,17.86,2993636800,748748000,-0.06,2.48,61.49,61.49,20200921
43.17,-10.01,-4.8,72074,323367872.0,7.36,35.23,123.2,2.71,-0.25,003004,声迅股份,46.7,43.17,44.91,47.97,3533032800,883258200,-0.07,5.38,113.08,113.08,20201126
54.59,-2.86,-1.61,16787,93568942.0,4.18,6.33,31.49,0.47,-0.13,003005,竞业达,56.7,54.35,56.3,56.2,5786540000,1446635000,0.17,4.24,71.5,71.5,20200922
21.42,-4.16,-0.93,33720,74265372.0,6.67,7.88,52.85,0.81,-0.19,003006,百亚股份,22.87,21.38,22.48,22.35,9163000476,916300476,-0.23,8.58,224.05,224.05,20200921
34.39,-3.75,-1.34,10279,35981994.0,4.81,5.14,-148.49,1.02,0.17,003007,直真科技,35.92,34.2,35.92,35.73,2751200000,687800000,0.0,3.29,46.97,46.97,20200923
40.31,-2.75,-1.14,11473,46746424.0,2.56,5.74,35.75,0.58,-0.27,003008,开普检测,41.36,40.3,41.25,41.45,3224800000,806200000,-0.12,3.23,32.51,32.51,20200923
59.19,-5.42,-3.39,64297,387129968.0,5.1,16.55,94.62,1.41,0.0,003009,中天火箭,62.2,59.01,62.2,62.58,9197671006,2299419039,-0.02,7.64,357.42,357.42,20200925
37.88,-3.24,-1.27,16099,61798263.0,2.94,5.29,53.45,0.74,-0.34,003010,若羽臣,38.97,37.82,38.87,39.15,4609989939,1152688400,-0.11,4.49,149.21,149.21,20200925
75.2,-2.43,-1.87,12744,97932412.0,4.41,6.95,28.05,0.77,-0.83,003011,海象新材,78.4,75.0,76.92,77.07,5515168000,1379168000,-0.66,4.69,94.47,94.47,20200930
15.56,-4.19,-0.68,146833,235143286.0,5.85,10.27,26.2,1.41,-0.38,003012,东鹏控股,16.5,15.55,16.12,16.24,18251880000,2225080000,-0.19,2.54,37.09,37.09,20201019
20.95,-4.34,-0.95,35885,76713652.0,4.61,8.97,27.0,0.67,0.0,003013,地铁设计,21.91,20.9,21.91,21.9,8380209500,838209500,0.0,4.72,55.99,55.99,20201022
16.97,-5.3,-0.95,112242,195341463.0,5.25,15.97,46.38,0.54,-0.29,003015,日久光电,17.9,16.96,17.89,17.92,4769701339,1192425339,-0.35,4.31,158.3,158.3,20201021
10.45,-1.32,-0.14,42431,44708773.0,2.17,3.98,28.02,0.8,0.0,003016,欣贺股份,10.65,10.42,10.58,10.59,4458667015,1114667015,0.1,1.56,16.24,16.24,20201026
56.48,-0.83,-0.47,11290,64049574.0,2.58,7.53,32.77,0.53,-0.07,003017,大洋生物,57.45,55.98,56.99,56.95,3388800000,847200000,-0.12,3.59,95.77,95.77,20201026
14.16,-3.48,-0.51,55862,80341067.0,4.36,8.59,37.69,0.69,0.07,003018,金富科技,14.74,14.1,14.69,14.67,3681600000,920400000,0.07,2.89,58.57,58.57,20201106
34.91,-3.54,-1.28,30691,108912619.0,3.92,9.59,34.67,0.69,-0.14,003019,宸展光电,36.32,34.9,36.13,36.19,4468480000,1117120000,-0.09,3.74,48.05,48.05,20201117
88.9,-4.82,-4.5,36909,333447936.0,3.28,13.84,39.7,0.62,-0.61,003021,兆威机电,91.66,88.6,90.3,93.4,9482963000,2370963000,-0.15,3.5,18.34,18.34,20201204
18.15,10.0,1.65,556822,996455600.0,6.91,37.79,33.07,49.1,0.0,003022,联泓新科,18.15,17.01,18.15,16.5,18646584000,2674584000,0.0,3.57,58.38,58.38,20201208
71.23,-3.46,-2.55,4649,33691808.0,4.74,3.23,39.61,1.07,-0.21,300811,铂科新材,74.5,71.0,73.65,73.78,4102848000,1025712000,-0.13,4.92,3.7,72.72,20191230
48.3,-1.87,-0.92,8073,39154750.0,4.49,4.17,52.46,0.58,1.09,300812,易天股份,49.9,47.69,48.9,49.22,3743814289,936054000,1.24,4.94,-15.38,130.44,20200109
57.64,-2.88,-1.71,5097,29630210.0,3.29,3.92,68.71,1.56,0.07,300813,泰林生物,59.55,57.6,59.34,59.35,2995550800,749320000,0.0,6.98,-11.47,224.73,20200114
86.22,-5.04,-4.58,21209,186844735.0,5.15,6.13,16.96,1.36,-0.22,300815,玉禾田,90.8,86.12,90.8,90.8,11932848000,2983177512,0.05,4.86,-33.76,194.07,20200123
93.29,-3.71,-3.59,3753,35282412.0,3.92,1.88,63.03,0.46,0.35,300816,艾可蓝,96.41,92.61,95.74,96.88,7463200000,1865800000,0.31,10.19,2.76,365.98,20200210
32.91,-4.88,-1.69,22833,76459396.0,5.0,9.03,49.9,1.13,0.3,300817,双飞股份,34.48,32.75,34.3,34.6,3326016240,831701520,0.03,3.88,-11.91,117.95,20200218
36.6,-3.94,-1.5,10208,38214705.0,5.67,5.83,70.76,0.93,-0.38,300818,耐普矿机,38.56,36.4,38.15,38.1,2562000000,640500000,-0.08,2.97,-3.15,74.79,20200212
46.67,-5.58,-2.76,54856,264084986.0,6.98,22.06,242.18,0.61,-0.28,300819,聚杰微纤,49.95,46.5,49.04,49.43,4642264900,1160682900,-0.17,5.71,58.63,209.69,20200312
53.51,-5.29,-2.99,13754,75538159.0,6.0,5.79,56.71,1.23,-0.09,300820,英杰电气,56.9,53.51,56.4,56.5,5083985100,1271397600,-0.06,4.97,-10.14,142.02,20200213
14.0,1.01,0.14,350174,494657776.0,4.26,11.67,111.65,0.9,0.21,300821,东岳硅材,14.35,13.76,13.89,13.86,16800000000,4200000000,0.21,4.3,12.72,110.53,20200312
52.15,-2.45,-1.31,22026,116150558.0,3.76,8.26,31.34,0.55,0.08,300822,贝仕达克,53.84,51.83,53.83,53.46,5562840500,1390840500,0.06,5.04,9.79,125.08,20200313
37.5,0.0,0.0,8696,32566981.0,3.52,3.72,40.9,0.38,0.32,300823,建科机械,38.4,37.08,38.07,37.5,3508465913,877500000,0.27,3.91,1.96,129.22,20200319
29.31,-2.33,-0.7,15891,47279625.0,2.67,2.92,70.16,0.78,-0.24,300824,北鼎股份,30.09,29.29,29.82,30.01,6371994000,1592998500,0.0,10.14,-12.01,413.31,20200619
29.97,0.57,0.17,51114,152525454.0,3.69,6.69,88.32,1.27,0.88,300825,阿尔特,30.5,29.4,30.0,29.8,9160592528,2290157550,0.94,6.39,22.58,388.11,20200327
37.43,0.75,0.28,6495,24317360.0,2.31,3.25,65.33,1.4,0.24,300826,测绘股份,37.89,37.03,37.33,37.15,2994400000,748600000,0.13,3.05,-4.66,63.59,20200403
57.41,-2.35,-1.38,9965,58117168.0,3.95,5.44,56.81,1.03,-0.31,300827,上能电气,59.42,57.1,58.67,58.79,4210081976,1052531976,-0.07,5.12,9.35,165.3,20200410
36.87,-5.44,-2.12,45674,172939874.0,6.44,16.57,66.27,1.45,-0.14,300828,锐新科技,39.2,36.69,39.01,38.99,4066023600,1016487465,-0.16,5.7,16.13,206.99,20200421
101.76,-2.2,-2.29,14834,155663209.0,6.03,5.24,83.52,0.69,-0.69,300829,金丹科技,107.88,101.61,104.02,104.05,11489629202,2879808000,-0.12,8.94,-0.09,351.66,20200422
14.2,-3.92,-0.58,37879,54639890.0,4.53,4.4,194.13,1.23,-0.07,300830,金现代,14.82,14.15,14.82,14.78,6107775000,1221555000,0.0,5.74,-15.48,222.73,20200506
23.27,-5.21,-1.28,109262,259648197.0,5.46,13.66,198.09,1.08,-0.13,300831,派瑞股份,24.57,23.23,24.27,24.55,7446400000,1861600000,0.09,9.83,-5.29,489.11,20200507
150.86,-2.42,-3.74,7919,120731097.0,3.15,1.92,66.81,0.76,-0.09,300832,新产业,155.53,150.66,154.63,154.6,62207121000,6215432000,-0.02,13.84,-0.68,404.72,20200512
54.2,-1.13,-0.62,2697,14745653.0,1.55,1.28,51.36,0.85,-0.17,300833,浩洋股份,55.03,54.18,54.89,54.82,4570523400,1142644400,0.0,2.64,-17.73,4.05,20200520
61.68,0.72,0.44,16884,104945522.0,3.04,9.56,87.32,0.96,-0.03,300835,龙磁科技,63.0,61.14,61.54,61.24,4358925600,1089885600,0.02,5.15,0.37,216.31,20200525
57.12,-4.48,-2.68,10787,62625202.0,4.68,8.76,139.65,1.35,-0.07,300836,佰奥智能,59.9,57.1,59.67,59.8,2813486726,703371682,-0.12,4.58,-4.9,102.7,20200528
