最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
22.55,-0.13,-0.03,5520,12455425.0,0.89,1.38,44.43,0.55,0.0,002971,和远气体,22.7,22.5,22.59,22.58,3608000000,902000000,0.0,3.38,-12.09,108.41,20200113
21.03,-0.9,-0.19,6039,12735943.0,0.85,1.37,30.84,0.87,-0.19,002972,科安达,21.2,21.02,21.16,21.22,3708009600,927002400,-0.19,3.37,-16.58,5.78,20191227
24.46,0.37,0.09,7762,18955976.0,1.19,1.9,25.59,0.95,0.0,002973,侨银环保,24.52,24.23,24.38,24.37,9995823600,1000169400,-0.08,7.49,-14.86,328.37,20200106
113.18,0.77,0.86,8492,95879571.0,2.16,2.44,38.45,0.57,0.19,002975,博杰股份,114.1,111.67,112.35,112.32,15724482212,3931126212,-0.08,11.99,38.36,568.12,20200205
31.04,-1.02,-0.32,5076,15790804.0,0.96,2.03,51.94,0.87,-0.16,002976,瑞玛工业,31.3,31.0,31.3,31.36,3104000000,776000000,-0.1,4.16,-11.89,67.69,20200306
131.24,4.18,5.26,12795,165237734.0,8.65,7.15,181.71,0.85,0.52,002977,天箭科技,134.4,123.5,124.75,125.98,9383660000,2349196000,0.64,10.66,3.22,340.7,20200317
53.69,6.32,3.19,36331,188956284.0,6.46,8.95,30.95,1.09,0.71,002978,安宁股份,53.69,50.43,50.44,50.5,21529690000,2179814000,0.19,5.59,46.06,97.24,20200417
47.7,1.88,0.88,13909,65732717.0,3.31,2.67,51.48,0.92,-0.29,002979,雷赛智能,47.98,46.43,46.63,46.82,9921600000,2480400000,-0.29,9.4,12.98,424.18,20200408
51.61,4.22,2.09,22544,115701747.0,5.59,6.76,16.37,2.66,-0.15,002980,华盛昌,51.98,49.21,49.39,49.52,6881336774,1720336774,0.0,6.65,-20.18,270.5,20200415
32.74,-0.82,-0.27,5867,19233499.0,2.03,2.44,63.12,0.57,-0.12,002981,朝阳科技,33.18,32.51,33.07,33.01,3143040000,785760000,-0.15,3.79,-16.95,90.13,20200417
81.3,7.04,5.35,37965,299931136.0,9.86,14.81,34.57,2.62,-0.49,002982,湘佳股份,82.69,75.2,75.94,75.95,8282844000,2083719000,0.12,5.15,-38.41,176.25,20200424
34.67,0.52,0.18,9746,33514669.0,1.88,2.75,59.9,0.82,-0.09,002983,芯瑞达,34.71,34.06,34.21,34.49,4912045600,1228011400,-0.03,4.9,-12.67,167.31,20200428
24.72,-3.32,-0.85,75241,185959208.0,4.11,10.9,16.82,1.75,0.0,002984,森麒麟,25.45,24.4,25.45,25.57,16059816197,1705680000,-0.04,2.93,30.38,30.38,20200911
156.19,4.92,7.32,15672,240329485.0,7.25,4.17,101.41,1.5,0.08,002985,北摩高科,157.53,146.73,148.2,148.87,23453490400,5863372600,-0.01,12.18,-20.92,625.45,20200429
42.03,0.48,0.2,4756,19890566.0,2.46,1.68,90.62,0.87,0.21,002986,宇新股份,42.3,41.27,41.81,41.83,4763680200,1191130200,0.0,2.49,-16.69,7.8,20200602
53.85,-0.24,-0.13,7757,41799526.0,0.96,1.93,35.25,0.7,0.09,002987,京北方,54.22,53.7,54.2,53.98,8651669271,2163154500,0.09,5.15,-9.14,133.72,20200507
17.43,2.17,0.37,48629,84398507.0,5.92,8.35,49.62,1.5,0.0,002988,豪美新材,17.82,16.81,16.96,17.06,4057181100,1014672495,0.0,1.96,-0.97,59.32,20200518
42.5,0.4,0.17,11805,50489224.0,4.18,3.12,30.86,1.65,0.0,002989,中天精装,43.83,42.06,42.31,42.33,6434500000,1608625000,-0.12,4.03,-23.84,76.2,20200610
80.9,4.72,3.65,26645,218017298.0,5.93,8.44,49.77,1.93,-0.07,002990,盛视科技,84.48,79.9,79.99,77.25,10212816000,2553204000,0.0,5.62,-13.69,119.78,20200525
104.15,6.17,6.05,18420,187398430.0,7.61,7.9,58.68,1.7,0.11,002991,甘源食品,104.88,97.41,97.9,98.1,9708428799,2427111600,0.02,7.11,-30.69,176.33,20200731
31.29,-0.29,-0.09,13967,43563383.0,1.18,4.05,62.86,1.32,-0.19,002992,宝明科技,31.42,31.05,31.2,31.38,4316798126,1079505000,-0.1,2.81,-15.46,40.0,20200803
77.46,0.95,0.73,25822,198787019.0,3.08,5.71,44.13,0.8,0.22,002993,奥海科技,77.96,75.6,76.91,76.73,14004768000,3501192000,0.05,6.54,-20.14,188.17,20200817
60.1,-0.1,-0.06,2490,14951165.0,1.08,1.54,40.57,0.57,-0.03,002995,天地在线,60.35,59.7,60.15,60.16,3886667000,971817000,0.03,3.92,-8.08,77.6,20200805
18.43,4.42,0.78,308688,560353920.0,18.7,58.24,54.18,1.61,0.88,002996,顺博合金,19.42,16.12,16.8,17.65,8090770000,976790000,0.16,4.48,3.95,119.14,20200828
19.32,-3.88,-0.78,52456,102355753.0,3.83,11.43,34.07,0.76,0.0,002997,瑞鹄模具,19.99,19.22,19.86,20.1,3547152000,886788000,-0.05,3.36,7.51,54.81,20200903
10.48,0.29,0.03,73580,77134646.0,3.16,9.02,30.02,0.65,0.1,002998,优彩资源,10.62,10.29,10.36,10.45,3420655232,855163808,-0.1,2.53,79.15,79.15,20200925
12.64,-0.55,-0.07,40603,51038546.0,2.36,6.54,33.75,0.77,0.24,002999,天禾股份,12.75,12.45,12.75,12.71,3138259200,784691200,-0.16,3.06,32.63,90.94,20200903
19.22,1.16,0.22,43093,82620435.0,3.89,10.77,68.11,0.5,-0.41,003000,华文食品,19.45,18.71,18.79,19.0,7688192200,768992200,0.0,8.64,290.65,290.65,20200914
37.29,-2.38,-0.91,19480,73178270.0,2.41,8.02,31.45,0.6,-0.03,003001,中岩大地,38.19,37.27,38.02,38.2,3623667384,905916846,0.05,2.87,23.64,23.64,20201013
17.25,-0.35,-0.06,47860,81447446.0,3.47,9.57,37.37,0.55,-0.46,003002,壶化股份,17.35,16.75,17.21,17.31,3450000000,862500000,-0.29,3.4,109.85,109.85,20200922
17.39,1.81,0.31,81037,141767046.0,7.55,18.33,53.67,1.44,0.29,003003,天元股份,18.25,16.96,17.13,17.08,3073160800,768638000,0.0,2.55,65.78,65.78,20200921
51.68,10.0,4.7,927,4788203.0,0.0,0.45,147.48,0.8,0.0,003004,声迅股份,51.68,51.68,51.68,46.98,4229491200,1057372800,0.0,6.44,155.08,155.08,20201126
57.17,0.65,0.37,28969,165504707.0,3.19,10.93,32.98,0.99,0.05,003005,竞业达,58.2,56.39,56.88,56.8,6060020000,1515005000,-0.02,4.44,79.61,79.61,20200922
21.64,4.95,1.02,54953,116813128.0,6.6,12.85,53.39,1.64,0.19,003006,百亚股份,21.77,20.41,20.48,20.62,9257111592,925711592,0.28,8.67,227.38,227.38,20200921
