最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
33.4,1.83,0.6,272263,919115152.0,4.6,1.28,18.32,2.1,-0.09,002001,新 和 成,34.45,32.94,33.02,32.8,71765320820,70857477524,0.0,3.84,4.15,46.75,20040625
3.91,1.03,0.04,1014378,394440256.0,3.1,3.92,13.01,2.05,-0.26,002002,鸿达兴业,3.94,3.82,3.87,3.87,10122975658,10107913263,-0.51,1.42,0.51,-4.63,20040625
7.06,-0.7,-0.05,37403,26681696.0,2.25,0.58,11.89,0.71,-0.28,002003,伟星股份,7.21,7.05,7.14,7.11,5477504022,4564820051,-0.28,2.18,12.06,23.43,20040625
5.6,0.0,0.0,307542,174697392.0,3.21,1.7,16.18,1.96,0.0,002004,华邦健康,5.76,5.58,5.6,5.6,11087547470,10150932898,0.0,1.16,2.75,18.64,20040625
1.37,0.0,0.0,125618,17329574.0,2.92,0.74,-11.01,1.66,0.0,002005,ST德豪,1.4,1.36,1.37,1.37,2417666400,2317899787,-0.72,1.06,3.01,-29.38,20040625
5.43,-2.34,-0.13,253505,139537954.0,4.68,5.57,110.72,1.36,0.18,002006,精功科技,5.66,5.4,5.6,5.56,2471518800,2471518800,-0.18,2.67,-7.02,16.52,20040625
43.11,-1.42,-0.62,186197,809292048.0,3.77,1.19,61.18,0.57,0.14,002007,华兰生物,44.6,42.95,43.96,43.73,78648449558,67552007164,-0.05,11.3,-20.46,61.28,20040625
37.59,-6.91,-2.79,448517,1709137440.0,8.79,4.51,29.49,2.78,-0.13,002008,大族激光,40.35,36.8,40.31,40.38,40111214227,37343786026,0.11,4.37,7.0,-5.55,20040625
9.11,-2.88,-0.27,91214,85018810.0,5.97,2.47,47.56,0.87,0.0,002009,天奇股份,9.56,9.0,9.4,9.38,3375705344,3370495562,0.11,1.6,-7.04,19.55,20040629
5.29,-1.67,-0.09,127016,67581239.0,1.86,0.4,19.43,0.94,0.0,002010,传化智联,5.38,5.28,5.38,5.38,17233839647,16836228376,0.0,1.2,-13.14,-23.11,20040629
3.92,1.03,0.04,79330,31089091.0,3.09,0.87,-14.29,1.77,0.51,002011,盾安环境,3.98,3.86,3.88,3.88,3595471746,3582196360,0.51,1.65,-6.44,-19.18,20040705
5.67,-1.9,-0.11,87310,50041822.0,2.77,1.87,32.75,0.94,0.0,002012,凯恩股份,5.82,5.66,5.78,5.78,2651436415,2645268424,-0.18,1.98,-19.0,0.0,20040705
10.97,-2.05,-0.23,530946,591628624.0,3.84,1.37,51.27,1.1,-0.09,002013,中航机电,11.32,10.89,11.21,11.2,42616527935,42615316968,0.09,3.47,2.43,59.45,20040705
10.33,-1.99,-0.21,20331,21076127.0,3.23,0.41,18.41,1.02,-0.48,002014,永新股份,10.59,10.25,10.52,10.54,5309792759,5179696098,-0.1,2.81,-9.39,10.84,20040708
5.75,-2.21,-0.13,65364,37997251.0,2.21,1.63,9.22,1.01,-0.35,002015,协鑫能科,5.88,5.75,5.84,5.88,7776652544,2304046994,0.0,1.4,-2.54,9.11,20040708
6.59,-2.66,-0.18,51571,34276530.0,3.1,0.75,6.19,1.28,-0.3,002016,世荣兆业,6.78,6.57,6.77,6.77,5331940215,4526312715,0.0,1.4,-7.83,-23.9,20040708
10.48,-2.78,-0.3,36821,38979894.0,3.06,0.83,146.95,1.01,-0.19,002017,东信和平,10.81,10.48,10.73,10.78,4679174160,4665044532,-0.19,3.33,-15.76,-29.57,20040713
-,-,-,-,-,-,-,-,-,-,002018,华信退,-,-,-,0.26,-,-,-,-,-,-,20040713
21.81,-3.15,-0.71,108135,238614985.0,3.46,1.31,22.16,0.88,-0.32,002019,亿帆医药,22.58,21.8,22.51,22.52,26928307049,17986889048,-0.23,3.21,-25.33,35.05,20040713
10.93,-1.97,-0.22,48063,53122892.0,2.33,0.81,15.52,1.31,-0.18,002020,京新药业,11.19,10.93,11.15,11.15,7711199992,6454666829,0.0,2.12,-6.5,5.2,20040715
2.02,0.0,0.0,20438,4124723.0,0.99,0.3,-40.49,0.72,0.5,002021,ST中捷,2.03,2.01,2.02,2.02,1389386381,1388627467,0.5,2.03,-26.01,-18.55,20040715
17.41,-2.79,-0.5,65221,114748621.0,3.29,1.27,16.73,1.35,0.0,002022,科华生物,17.96,17.37,17.89,17.91,8962351016,8933697864,0.0,3.11,-7.69,49.83,20040721
15.2,4.11,0.6,306926,467904544.0,5.55,4.66,-540.76,2.81,-0.2,002023,海特高新,15.45,14.64,14.72,14.6,11503223246,10021063858,-0.13,3.28,-9.74,26.46,20040721
8.65,-4.0,-0.36,621809,542162000.0,3.66,0.8,110.4,2.65,-0.12,002024,苏宁易购,8.92,8.59,8.92,9.01,80531843016,67243650026,-0.12,0.93,-9.23,-14.02,20040721
50.64,-4.47,-2.37,49985,259038035.0,5.41,1.17,53.01,1.07,-0.37,002025,航天电器,53.37,50.5,52.92,53.01,21724560000,21719433814,0.0,6.63,5.41,91.67,20040726
10.57,-3.21,-0.35,93853,99815233.0,3.57,2.23,19.99,0.84,-0.19,002026,山东威达,10.91,10.52,10.91,10.92,4440440289,4440440289,0.0,1.8,0.48,105.64,20040727
10.19,-1.64,-0.17,560482,577766368.0,3.19,0.38,50.93,0.67,0.1,002027,分众传媒,10.5,10.17,10.49,10.36,149567600053,149567600053,-0.1,9.85,36.41,64.62,20040804
21.72,-4.15,-0.94,114720,254005561.0,4.41,1.94,14.93,1.38,0.28,002028,思源电气,22.6,21.6,22.6,22.66,16572206266,12815895796,0.0,2.84,-11.74,58.89,20040805
5.3,-1.85,-0.1,33553,17959081.0,2.22,0.46,50.24,0.98,0.0,002029,七 匹 狼,5.42,5.3,5.4,5.4,4005051000,3895249140,0.0,0.69,-9.25,-7.83,20040806
33.08,-2.25,-0.76,166403,555198064.0,2.9,1.94,14.16,0.9,0.15,002030,达安基因,33.98,33.0,33.98,33.84,29016246712,28329018511,-0.06,8.64,-3.05,217.16,20040809
2.03,-4.25,-0.09,425557,87868168.0,5.19,2.25,353.91,1.56,0.0,002031,巨轮智能,2.13,2.02,2.13,2.12,4464773210,3841310595,0.5,1.45,-15.77,2.53,20040816
71.96,-0.48,-0.35,10035,72755104.0,1.56,0.16,41.0,0.75,0.01,002032,苏 泊 尔,72.94,71.81,72.31,72.31,59085194566,43981310692,0.06,9.0,-11.03,-4.63,20040817
6.22,-2.35,-0.15,25445,16002074.0,3.14,0.46,52.86,0.99,0.0,002033,丽江股份,6.4,6.2,6.4,6.37,3417832222,3417766726,-0.16,1.35,-11.9,1.47,20040825
15.59,-3.53,-0.57,27691,43944010.0,4.15,1.03,13.03,1.25,-0.26,002034,旺能环境,16.25,15.58,16.21,16.16,6569081052,4190292095,0.0,1.48,-19.89,5.98,20040826
9.19,-1.71,-0.16,82227,76184787.0,2.25,1.05,21.99,0.83,-0.11,002035,华帝股份,9.4,9.19,9.36,9.35,7988226678,7200834830,-0.11,2.68,-17.13,-29.95,20040901
11.33,-4.39,-0.52,205635,238699977.0,4.89,2.22,42.46,0.72,-0.61,002036,联创电子,11.88,11.3,11.82,11.85,11872661703,10483054708,0.18,3.23,-7.36,-13.38,20040903
7.27,-3.45,-0.26,26726,19752733.0,4.25,0.82,40.0,1.27,-0.14,002037,保利联合,7.57,7.25,7.51,7.53,3545035996,2379966523,-0.14,1.04,-6.56,6.44,20040908
11.03,-1.96,-0.22,57504,63871774.0,2.4,0.68,28.03,0.94,0.0,002038,双鹭药业,11.28,11.01,11.28,11.25,11331670500,9394815548,-0.09,2.31,-11.55,-14.83,20040909
15.48,-0.83,-0.13,22854,35491725.0,1.28,0.75,7.84,0.81,0.0,002039,黔源电力,15.66,15.46,15.66,15.61,4727571288,4727519058,0.0,1.48,-2.7,8.48,20050303
6.42,-3.89,-0.26,64588,42212511.0,4.79,1.33,24.3,1.18,0.16,002040,南 京 港,6.72,6.4,6.7,6.68,3107066856,3107066856,0.31,1.13,-3.75,-7.89,20050325
17.69,-1.67,-0.3,109493,196584558.0,3.06,1.24,199.99,0.57,-0.23,002041,登海种业,18.22,17.67,17.93,17.99,15567200000,15567200000,0.0,5.47,-0.62,84.85,20050418
7.28,-1.89,-0.14,183451,134375432.0,3.23,1.21,-34.04,0.81,-0.95,002042,华孚时尚,7.47,7.23,7.42,7.42,11061054040,11052098279,-1.09,1.91,30.0,1.11,20050427
8.99,-0.88,-0.08,61189,55343227.0,1.98,0.85,27.07,0.84,0.0,002043,兔 宝 宝,9.15,8.97,9.06,9.07,6965056458,6464091234,0.0,4.22,-27.67,26.62,20050510
12.52,-1.8,-0.23,397971,509634240.0,4.71,1.04,-71.08,0.83,-0.24,002044,美年健康,13.11,12.51,12.75,12.75,49006459116,47956150519,-0.16,7.16,-17.41,-15.92,20050518
8.3,-2.47,-0.21,36832,31095666.0,3.41,0.79,19.71,1.23,-0.36,002045,国光电器,8.58,8.29,8.51,8.51,3887586478,3877475210,-0.12,1.94,-6.32,-31.46,20050523
8.39,-3.56,-0.31,55571,47331846.0,3.79,1.36,59.97,1.3,0.12,002046,轴研科技,8.7,8.37,8.66,8.7,4399288764,3428987337,0.0,1.6,-8.9,24.67,20050526
4.37,-1.35,-0.06,119803,52922794.0,2.93,0.9,29.83,0.49,0.23,002047,宝鹰股份,4.48,4.35,4.47,4.43,5861467545,5836657211,0.23,1.38,-8.0,-24.26,20050531
16.03,-2.73,-0.45,76327,123571391.0,3.09,1.4,12.38,0.99,0.06,002048,宁波华翔,16.47,15.96,16.41,16.48,10038423843,8734498647,0.06,1.0,-9.69,4.77,20050603
112.59,1.16,1.29,168154,1918104832.0,6.38,2.77,74.85,1.25,0.04,002049,紫光国微,116.9,109.8,110.0,111.3,68321635017,68234129957,0.01,14.17,-0.61,121.76,20050606
23.15,-4.73,-1.15,436254,1031358016.0,7.16,1.24,57.1,1.47,0.0,002050,三花智控,24.64,22.9,24.1,24.3,83155767161,81500533665,0.09,8.65,10.4,76.45,20050607
7.27,-1.36,-0.1,31901,23365486.0,2.17,0.29,52.54,0.93,0.14,002051,中工国际,7.41,7.25,7.41,7.37,8995962972,8081608340,0.0,0.85,-5.46,-24.03,20060619
1.21,-0.82,-0.01,300106,36571327.0,4.1,4.02,-10.47,0.84,0.0,002052,*ST同洲,1.24,1.19,1.21,1.22,902611230,902607401,0.0,2.65,-17.69,-61.95,20060627
7.52,-0.66,-0.05,8125,6159101.0,2.25,0.15,24.83,0.83,-0.13,002053,云南能投,7.68,7.51,7.55,7.57,5722558816,4198636607,0.0,1.39,-15.03,5.03,20060627
8.76,-3.31,-0.3,105554,94204172.0,5.41,3.4,23.38,0.86,-0.34,002054,德美化工,9.21,8.72,9.12,9.06,3672462053,2721077269,-0.11,1.88,11.45,15.72,20060725
14.1,-4.02,-0.59,79587,114353157.0,3.95,1.84,22.51,1.23,-0.07,002055,得润电子,14.68,14.1,14.58,14.69,6676146678,6114482865,-0.14,3.15,-21.97,31.28,20060725
13.46,-0.22,-0.03,172117,232967381.0,2.15,1.06,25.15,0.7,-0.22,002056,横店东磁,13.67,13.38,13.48,13.49,22122856000,21863615525,-0.15,3.9,9.34,67.2,20060802
7.31,-3.56,-0.27,105036,78257468.0,4.35,1.83,26.08,1.08,0.0,002057,中钢天源,7.63,7.3,7.59,7.58,4205353643,4205353643,0.0,2.78,-7.7,-19.76,20060802
17.04,-0.23,-0.04,5802,9979690.0,2.99,0.41,-1214.8,0.8,0.0,002058,威 尔 泰,17.52,17.01,17.13,17.08,2444359577,2440132788,-0.18,14.06,0.29,-24.4,20060802
4.74,-2.67,-0.13,31512,15099704.0,3.08,0.43,-114.45,1.23,0.21,002059,云南旅游,4.88,4.73,4.87,4.87,4798941014,3463956810,0.21,2.13,-27.63,-4.44,20060810
3.11,-0.96,-0.03,58458,18298622.0,1.27,0.49,16.03,0.86,-0.32,002060,粤 水 电,3.15,3.11,3.14,3.14,3739035000,3737955591,-0.32,1.12,-6.89,4.71,20060810
5.38,-1.65,-0.09,48199,26079967.0,1.65,0.35,12.6,0.89,0.0,002061,浙江交科,5.46,5.37,5.44,5.47,7400971241,7400971241,0.0,0.93,-7.4,-6.43,20060816
4.22,-1.17,-0.05,34492,14632919.0,1.64,0.36,14.2,0.87,0.0,002062,宏润建设,4.28,4.21,4.28,4.27,4652550000,4074413384,0.0,1.36,-12.63,21.97,20060816
8.1,-1.58,-0.13,96509,78616945.0,1.7,0.95,48.38,0.98,0.0,002063,远光软件,8.23,8.09,8.22,8.23,8930137507,8215886927,0.12,3.48,-15.18,-12.24,20060823
