最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率,量比,五分钟涨跌,代码,名称,最高价,最低价,今开,昨收,总市值,流通市值,涨速,市净率,60日涨跌幅,年初至今涨跌幅,上市时间
32.99,-0.24,-0.08,81131,266250904.0,1.72,0.38,18.1,0.52,-0.06,002001,新 和 成,33.07,32.5,32.78,33.07,70884369277,69987670165,0.0,3.79,-4.18,44.95,20040625
3.94,0.0,0.0,439536,172516162.0,1.78,1.7,13.11,0.62,-0.25,002002,鸿达兴业,3.96,3.89,3.93,3.94,10200645548,10185467585,-0.25,1.43,2.34,-3.9,20040625
7.49,0.27,0.02,35577,26592818.0,2.41,0.55,12.61,0.76,-0.13,002003,伟星股份,7.58,7.4,7.48,7.47,5811119706,4842847334,-0.13,2.31,18.89,30.94,20040625
5.55,-0.54,-0.03,102556,56683747.0,1.25,0.57,16.04,0.7,0.0,002004,华邦健康,5.56,5.49,5.56,5.58,10988551510,10060299569,0.0,1.15,1.09,17.58,20040625
1.37,0.74,0.01,39570,5384002.0,1.47,0.23,-11.01,0.43,0.74,002005,ST德豪,1.37,1.35,1.36,1.36,2417666400,2317899787,0.74,1.06,7.87,-29.38,20040625
5.13,1.18,0.06,70018,35970926.0,2.76,1.54,104.6,1.01,0.0,002006,精功科技,5.2,5.06,5.07,5.07,2334970800,2334970800,0.0,2.53,-5.18,10.09,20040625
46.07,0.63,0.29,286037,1318170368.0,2.77,1.83,65.38,0.84,0.0,002007,华兰生物,46.78,45.51,46.0,45.78,84048575067,72190233589,-0.02,12.07,-16.31,72.35,20040625
39.48,-0.55,-0.22,160249,632338560.0,3.1,1.61,30.97,0.92,0.18,002008,大族激光,40.19,38.96,39.7,39.7,42127979188,39221406553,0.08,4.59,10.99,-0.8,20040625
9.64,2.34,0.22,119768,114647353.0,3.93,3.24,50.33,0.73,0.1,002009,天奇股份,9.7,9.33,9.43,9.42,3572096544,3566583669,-0.21,1.69,0.94,26.51,20040629
5.4,-0.92,-0.05,127589,68889042.0,1.28,0.4,19.83,0.86,0.19,002010,传化智联,5.44,5.37,5.44,5.45,17592199261,17186320082,0.0,1.22,-10.74,-21.51,20040629
3.92,0.51,0.02,53176,20790601.0,2.05,0.58,-14.29,1.38,0.0,002011,盾安环境,3.95,3.87,3.89,3.9,3595471746,3582196360,0.0,1.65,-5.08,-19.18,20040705
5.97,-0.67,-0.04,75120,44757757.0,1.16,1.61,34.48,0.61,-0.17,002012,凯恩股份,6.0,5.93,6.0,6.01,2791724056,2785229717,-0.17,2.09,-8.29,5.29,20040705
10.67,0.85,0.09,311943,328240896.0,3.21,0.8,49.87,0.56,0.66,002013,中航机电,10.71,10.37,10.55,10.58,41451080499,41449902648,0.47,3.38,-3.87,55.09,20040705
10.56,0.67,0.07,16714,17612309.0,2.0,0.33,18.82,0.75,-0.28,002014,永新股份,10.63,10.42,10.59,10.49,5428016605,5295023311,-0.38,2.88,-9.51,13.3,20040708
6.06,-0.49,-0.03,49860,30118091.0,1.48,1.24,9.72,0.61,0.0,002015,协鑫能科,6.09,6.0,6.08,6.09,8195915551,2428265180,0.17,1.48,1.0,14.99,20040708
6.92,0.29,0.02,34317,23693346.0,1.45,0.5,6.5,0.66,0.14,002016,世荣兆业,6.95,6.85,6.9,6.9,5598941773,4752971773,0.29,1.47,-4.29,-20.09,20040708
10.98,0.92,0.1,32459,35606380.0,2.21,0.73,153.96,0.85,0.0,002017,东信和平,11.05,10.81,10.88,10.88,4902417202,4887613450,0.09,3.49,-12.58,-26.21,20040713
-,-,-,-,-,-,-,-,-,-,002018,华信退,-,-,-,0.26,-,-,-,-,-,-,20040713
22.43,0.9,0.2,107729,239815397.0,2.92,1.31,22.79,0.72,0.04,002019,亿帆医药,22.48,21.83,22.1,22.23,27693806837,18498208223,0.04,3.3,-24.4,38.89,20040713
11.33,-0.7,-0.08,36693,41534311.0,1.58,0.62,16.09,0.98,-0.09,002020,京新药业,11.43,11.25,11.42,11.41,7993403102,6690885194,-0.09,2.2,-7.36,9.05,20040715
2.07,0.0,0.0,16773,3456858.0,2.9,0.24,-41.49,0.59,-0.48,002021,ST中捷,2.09,2.03,2.06,2.07,1423777133,1422999434,-0.48,2.08,-23.33,-16.53,20040715
18.18,-0.87,-0.16,52750,95902210.0,1.91,1.03,17.47,1.05,0.11,002022,科华生物,18.45,18.1,18.27,18.34,9358732997,9328812589,0.06,3.25,-10.58,56.45,20040721
14.99,1.63,0.24,125006,187359620.0,3.32,1.9,-533.29,1.22,0.0,002023,海特高新,15.17,14.68,14.76,14.75,11344297135,9882614950,0.07,3.23,-6.72,24.71,20040721
9.05,-0.44,-0.04,188570,170418467.0,1.21,0.24,115.5,0.5,-0.11,002024,苏宁易购,9.11,9.0,9.1,9.09,84255858878,70353182976,-0.11,0.97,-7.56,-10.04,20040721
53.01,0.21,0.11,50137,264724090.0,3.27,1.17,55.49,0.89,0.11,002025,航天电器,53.88,52.15,53.35,52.9,22741290000,22735923904,0.06,6.94,5.53,100.64,20040726
10.8,-2.79,-0.31,123869,133323137.0,4.41,2.95,20.42,0.82,-0.18,002026,山东威达,11.05,10.56,10.88,11.11,4537062925,4537062925,-0.09,1.84,2.86,110.12,20040727
10.28,-0.39,-0.04,496468,509477632.0,2.23,0.34,51.38,0.43,0.29,002027,分众传媒,10.4,10.17,10.32,10.32,150888609278,150888609278,0.1,9.94,40.44,66.07,20040804
22.82,-0.35,-0.08,73160,166340665.0,1.79,1.24,15.65,0.59,0.0,002028,思源电气,23.01,22.6,22.83,22.9,17370596163,13424048975,0.0,2.98,-10.72,66.93,20040805
5.46,-0.36,-0.02,35330,19270584.0,1.28,0.48,51.76,0.94,0.0,002029,七 匹 狼,5.5,5.43,5.47,5.48,4125958200,4012841567,0.0,0.71,-3.87,-5.04,20040806
33.72,-0.82,-0.28,165710,555946032.0,2.24,1.94,14.43,0.95,0.03,002030,达安基因,33.94,33.18,33.85,34.0,29577625124,28877101094,0.0,8.8,-10.56,223.3,20040809
2.14,-1.38,-0.03,184877,39767719.0,1.38,0.98,373.08,0.63,-0.47,002031,巨轮智能,2.17,2.14,2.17,2.17,4706706734,4049460430,-0.47,1.53,-0.93,8.08,20040816
72.17,1.38,0.98,23495,169392641.0,3.3,0.38,41.12,1.89,-0.01,002032,苏 泊 尔,73.15,70.8,71.3,71.19,59257622176,44109660821,0.0,9.02,-13.35,-4.35,20040817
6.46,-0.46,-0.03,23299,15064096.0,1.39,0.42,54.9,0.73,-0.15,002033,丽江股份,6.52,6.43,6.51,6.49,3549709993,3549641969,-0.15,1.4,-6.51,5.38,20040825
16.77,0.36,0.06,15021,25148597.0,1.14,0.56,14.02,0.81,0.0,002034,旺能环境,16.85,16.66,16.78,16.71,7066291805,4507453396,0.06,1.59,-17.31,14.0,20040826
9.64,-0.72,-0.07,85470,82276259.0,1.44,1.09,23.07,0.79,0.1,002035,华帝股份,9.74,9.6,9.7,9.71,8379380323,7553432835,-0.1,2.81,-12.04,-26.52,20040901
12.05,-1.63,-0.2,189733,229634628.0,2.45,2.05,45.16,0.67,-0.08,002036,联创电子,12.32,12.02,12.25,12.25,12627146824,11149232941,-0.08,3.44,-0.41,-7.87,20040903
7.71,0.65,0.05,23662,18034909.0,2.22,0.72,42.42,1.15,0.13,002037,保利联合,7.71,7.54,7.66,7.66,3759591132,2524008514,0.0,1.1,0.0,12.88,20040908
11.51,-0.43,-0.05,60016,69199788.0,1.73,0.7,29.25,1.13,-0.09,002038,双鹭药业,11.67,11.47,11.65,11.56,11824798500,9803656116,0.0,2.41,-7.25,-11.12,20040909
15.94,-0.81,-0.13,30407,48486200.0,1.49,1.0,8.07,0.89,0.13,002039,黔源电力,16.1,15.86,16.07,16.07,4868054672,4868000891,0.06,1.53,0.38,11.7,20050303
6.85,2.24,0.15,78564,53430442.0,3.73,1.62,25.93,1.02,-0.15,002040,南 京 港,6.9,6.65,6.7,6.7,3315172580,3315172580,-0.15,1.2,3.01,-1.72,20050325
17.85,-2.72,-0.5,170454,306184112.0,2.72,1.94,201.8,0.93,0.0,002041,登海种业,18.3,17.8,18.28,18.35,15708000000,15708000000,0.0,5.52,-3.51,86.52,20050418
7.14,1.56,0.11,93991,66236290.0,2.7,0.62,-33.39,0.28,0.28,002042,华孚时尚,7.15,6.96,7.04,7.03,10848341463,10839557928,0.0,1.87,23.1,-0.83,20050427
9.31,0.43,0.04,60202,55711982.0,1.19,0.84,28.03,0.65,0.11,002043,兔 宝 宝,9.31,9.2,9.3,9.27,7212978379,6694181245,0.0,4.38,-29.89,31.13,20050510
13.04,-0.53,-0.07,401861,523044816.0,2.97,1.05,-74.03,0.62,-0.15,002044,美年健康,13.27,12.88,13.09,13.11,51041871156,49947939518,-0.08,7.46,-21.35,-12.42,20050518
